SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;&quot;contract;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;SafeMathUpdated;library;26;23;0;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;ClaimHolderLibrary;library;218;194;11;6;13;6;6;28;58;0;0;0;1;0;10;2.1666666666666665;1.0;1.0;4.666666666666667;9.666666666666666;1.6666666666666667
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;Crowdsale;contract;92;47;23;7;7;0;0;5;23;0;0;4;1;6;11;1.0;0.0;0.0;0.7142857142857143;3.2857142857142856;1.5714285714285714
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;ClaimHolder;contract;90;83;0;6;6;0;0;17;6;2;3;6;1;1;5;1.0;0.0;0.0;2.8333333333333335;1.0;0.8333333333333334
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;Foundation;contract;72;38;23;3;3;0;0;4;20;1;1;0;0;6;1;1.0;0.0;0.0;1.3333333333333333;6.666666666666667;0.3333333333333333
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;TokenTimelock;contract;31;17;7;2;2;0;0;3;7;0;0;0;1;3;4;1.0;0.0;0.0;1.5;3.5;2.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;KeyHolderLibrary;library;227;189;13;10;24;9;9;27;112;0;0;0;0;0;17;2.4;0.9;0.9;2.7;11.2;1.7
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;ProgressiveIndividualCappedCrowdsale;contract;62;41;15;4;5;1;1;3;14;3;5;0;0;6;8;1.25;0.25;0.25;0.75;3.5;2.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;8;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;TokenVesting;contract;100;52;28;5;7;2;1;9;27;1;1;0;1;7;19;1.4;0.4;0.2;1.8;5.4;3.8
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;Partnership;contract;367;213;131;12;23;9;9;9;91;4;5;4;3;4;30;1.9166666666666667;0.75;0.75;0.75;7.583333333333333;2.5
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;IdentityInterface;interface;7;7;0;2;2;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;PartnershipInterface;interface;9;9;0;5;5;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;0.6;0.0;0.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;Identity;contract;213;102;86;9;9;0;0;8;41;3;4;5;2;4;7;1.0;0.0;0.0;0.8888888888888888;4.555555555555555;0.7777777777777778
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;TalaoToken;contract;306;165;112;15;18;2;2;24;123;4;6;0;1;10;22;1.2;0.13333333333333333;0.13333333333333333;1.6;8.2;1.4666666666666666
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;RefundableCrowdsale;contract;46;29;7;5;6;1;1;1;12;2;3;1;1;2;10;1.2;0.2;0.2;0.2;2.4;2.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;&quot;contract;13;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;WorkspaceFactory;contract;77;53;19;2;2;0;0;7;32;1;1;0;3;2;6;1.0;0.0;0.0;3.5;16.0;3.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;RefundVault;contract;45;37;0;5;5;0;0;3;17;1;1;0;0;3;11;1.0;0.0;0.0;0.6;3.4;2.2
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;Documents;contract;319;203;87;9;12;3;3;35;50;6;7;1;0;3;16;1.3333333333333333;0.3333333333333333;0.3333333333333333;3.888888888888889;5.555555555555555;1.7777777777777777
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;FinalizableCrowdsale;contract;29;14;9;2;2;0;0;0;5;1;2;2;0;1;3;1.0;0.0;0.0;0.0;2.5;1.5
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;&quot;contract;55;36;16;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;TalaoMarketplace;contract;113;68;31;6;7;1;1;6;25;1;1;0;1;2;10;1.1666666666666667;0.16666666666666666;0.16666666666666666;1.0;4.166666666666667;1.6666666666666667
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;ERC735;contract;57;54;2;4;4;0;0;9;0;0;0;7;0;0;0;1.0;0.0;0.0;2.25;0.0;0.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;Profile;contract;44;28;12;2;2;0;0;2;3;6;7;1;0;1;0;1.0;0.0;0.0;1.0;1.5;0.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;SafeMath;library;26;23;0;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;KeyHolder;contract;75;64;0;9;9;0;0;17;10;1;1;7;1;1;9;1.0;0.0;0.0;1.8888888888888888;1.1111111111111112;1.0
7a237f06f85710b66184afcdc55e2845f1b8f0eb_WorkspaceFactory.sol;7a;DocumentsInterface;interface;16;16;0;2;2;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
