SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;ERC20Pausable;contract;21;17;0;5;5;0;0;11;5;2;4;2;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;3;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;Streamity;contract;11;10;5;0;0;0;0;0;0;4;7;0;0;11;0;0.0;0.0;0.0;0.0;0.0;0.0
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;ERC20Burnable;contract;18;8;9;2;2;0;0;3;2;3;5;1;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;5;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;ERC20;contract;173;64;89;13;13;0;0;26;32;1;1;3;0;3;18;1.0;0.0;0.0;2.0;2.4615384615384617;1.3846153846153846
7a712CCf2875eB0CC807dFe7A337C2099f24195C_Streamity.sol;7a;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;4;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
