SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;EIP20;contract;5;5;0;0;0;0;0;0;0;2;2;0;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;NonCompliantEIP20;interface;5;5;0;3;3;0;0;7;0;0;0;0;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;2;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;SafeMath;library;56;28;21;5;7;2;2;10;14;0;0;0;0;0;3;1.4;0.4;0.4;2.0;2.8;0.6
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;Ownable;contract;42;22;15;2;2;0;0;2;7;0;0;2;0;1;2;1.0;0.0;0.0;1.0;3.5;1.0
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;BZxTo0xShared;contract;93;54;33;2;3;1;1;6;16;0;0;1;0;0;4;1.5;0.5;0.5;3.0;8.0;2.0
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;BZxOwnable;contract;33;18;10;2;2;0;0;2;21;1;1;1;0;1;2;1.0;0.0;0.0;1.0;10.5;1.0
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;EIP20Wrapper;contract;81;69;15;3;3;0;0;10;18;0;0;1;0;0;6;1.0;0.0;0.0;3.3333333333333335;6.0;2.0
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;ExchangeInterface;interface;35;32;0;3;3;0;0;19;0;0;0;0;0;0;0;1.0;0.0;0.0;6.333333333333333;0.0;0.0
7c711594bfb4037dd13b03c85d8d183e2fdb19cc_BZxTo0x.sol;7c;BZxTo0x;contract;276;242;27;9;21;7;7;18;83;2;4;0;0;3;23;2.3333333333333335;0.7777777777777778;0.7777777777777778;2.0;9.222222222222221;2.5555555555555554
