SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;6;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;StandardToken;contract;52;21;23;3;3;0;0;7;12;2;3;1;0;1;7;1.0;0.0;0.0;2.3333333333333335;4.0;2.3333333333333335
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;BasicToken;contract;30;14;11;2;2;0;0;3;6;1;1;2;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;ERC677Receiver;contract;3;3;0;1;1;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;ERC677Token;contract;31;19;8;3;4;1;1;7;10;3;3;1;1;0;6;1.3333333333333333;0.3333333333333333;0.3333333333333333;2.3333333333333335;3.3333333333333335;2.0
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;Ownable;contract;32;16;11;2;2;0;0;1;6;0;0;1;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;MDToken;contract;270;153;87;14;15;1;1;29;45;4;7;0;1;16;21;1.0714285714285714;0.07142857142857142;0.07142857142857142;2.0714285714285716;3.2142857142857144;1.5
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;SafeMath;library;41;32;2;8;8;0;0;16;14;0;0;0;0;0;3;1.0;0.0;0.0;2.0;1.75;0.375
814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26_MDToken.sol;81;ERC677;contract;5;4;0;1;1;0;0;3;0;2;2;2;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
