SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;BurnableToken;contract;19;10;6;1;1;0;0;1;5;2;2;1;0;0;4;1.0;0.0;0.0;1.0;5.0;4.0
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;StandardToken;contract;87;36;42;5;6;1;1;11;21;2;3;3;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;2;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;Crowdsale;contract;93;48;22;7;7;0;0;5;24;0;0;1;1;6;11;1.0;0.0;0.0;0.7142857142857143;3.4285714285714284;1.5714285714285714
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;8;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;5;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;DetailedERC20;contract;11;10;0;1;1;0;0;3;3;2;2;1;0;3;0;1.0;0.0;0.0;3.0;3.0;0.0
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;VCBToken;contract;19;13;0;1;1;0;0;0;2;5;9;0;0;8;1;1.0;0.0;0.0;0.0;2.0;1.0
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;VCBCrowdSale;contract;82;46;16;8;10;2;2;9;18;1;2;0;2;5;14;1.25;0.25;0.25;1.125;2.25;1.75
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
84098d815d54668bda5fc9c0f0fc8783ba749947_VCBCrowdSale.sol;84;CappedToken;contract;22;11;6;2;2;0;0;3;4;4;6;1;0;1;3;1.0;0.0;0.0;1.5;2.0;1.5
