SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;ERC20StandardToken;contract;75;44;16;9;9;0;0;14;18;1;2;1;0;6;11;1.0;0.0;0.0;1.5555555555555556;2.0;1.2222222222222223
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;ITokenPool;contract;12;5;4;2;2;0;0;2;1;0;0;0;1;1;0;1.0;0.0;0.0;1.0;0.5;0.0
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;ICrowdsaleFormula;contract;10;6;2;2;2;0;0;1;4;0;0;2;0;0;0;1.0;0.0;0.0;0.5;2.0;0.0
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;SafeMath;contract;26;19;3;4;4;0;0;8;9;0;0;4;0;0;4;1.0;0.0;0.0;2.0;2.25;1.0
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;ITokenHolder;contract;3;3;0;1;1;0;0;3;0;0;0;3;1;0;0;1.0;0.0;0.0;3.0;0.0;0.0
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;ReturnTokenAgent;contract;23;11;7;3;3;0;0;4;4;3;3;2;1;1;2;1.0;0.0;0.0;1.3333333333333333;1.3333333333333333;0.6666666666666666
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;TokenHolder;contract;13;10;1;2;2;0;0;3;1;3;4;2;1;0;1;1.0;0.0;0.0;1.5;0.5;0.5
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;IOwned;contract;4;4;0;2;2;0;0;1;0;0;0;8;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;Manageable;contract;28;20;1;3;3;0;0;3;8;2;2;6;0;1;2;1.0;0.0;0.0;1.0;2.6666666666666665;0.6666666666666666
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;IInvestRestrictions;contract;9;6;2;2;2;0;0;5;4;3;3;0;0;0;0;1.0;0.0;0.0;2.5;2.0;0.0
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;BCSCrowdsale;contract;211;152;33;14;25;9;7;16;77;4;8;1;2;18;29;1.7857142857142858;0.6428571428571429;0.5;1.1428571428571428;5.5;2.0714285714285716
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;BCSAddBonusCrowdsale;contract;62;53;0;2;5;2;2;14;14;5;9;0;2;5;3;2.5;1.0;1.0;7.0;7.0;1.5
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;IERC20Token;contract;19;13;1;9;9;0;0;10;9;0;0;2;0;0;0;1.0;0.0;0.0;1.1111111111111112;1.0;0.0
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;Owned;contract;19;14;2;2;2;0;0;1;5;1;1;7;0;1;1;1.0;0.0;0.0;0.5;2.5;0.5
8418c859eb647209785c972f50b003efb4290d05_BCSAddBonusCrowdsale.sol;84;ReturnableToken;contract;24;16;3;4;5;1;1;5;5;3;6;0;1;1;5;1.25;0.25;0.25;1.25;1.25;1.25
