SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;GOToken;contract;38;27;0;5;5;0;0;8;9;4;6;0;1;7;5;1.0;0.0;0.0;1.6;1.8;1.0
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;CommonCrowdsale;contract;219;162;0;27;36;8;8;23;73;1;1;1;2;21;38;1.3333333333333333;0.2962962962962963;0.2962962962962963;0.8518518518518519;2.7037037037037037;1.4074074074074074
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;GOTokenCrowdsale;contract;15;13;0;1;1;0;0;0;9;2;2;0;0;0;1;1.0;0.0;0.0;0.0;9.0;1.0
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
849de371420b4e1002418b93d7dca95472ba04b6_GOToken.sol;84;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
