SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;SafeMathLib;library;20;16;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;FractionalERC20;contract;5;3;0;0;0;0;0;0;0;2;2;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;FinalizeAgent;contract;17;7;6;3;3;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.3333333333333333;0.0
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;Crowdsale;contract;496;188;221;29;42;11;3;40;103;2;2;0;3;22;57;1.4482758620689655;0.3793103448275862;0.10344827586206896;1.3793103448275863;3.5517241379310347;1.9655172413793103
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;NullFinalizeAgent;contract;18;11;2;3;3;0;0;1;2;1;1;0;1;1;0;1.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;ReleasableToken;contract;70;32;25;5;5;0;0;8;11;2;3;0;0;3;2;1.0;0.0;0.0;1.6;2.2;0.4
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;3;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;Haltable;contract;29;21;2;2;2;0;0;0;8;1;1;1;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;PricingStrategy;contract;37;14;19;4;4;0;0;7;3;0;0;0;0;0;0;1.0;0.0;0.0;1.75;0.75;0.0
88769155591fe9cd88aee367f51357ef1ea111f6_NullFinalizeAgent.sol;88;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;3;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
