SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;MintableToken;contract;25;19;0;2;2;0;0;2;12;3;5;1;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;SafeMath;library;26;22;0;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;BurnableToken;contract;14;10;0;1;1;0;0;1;5;3;5;1;0;0;3;1.0;0.0;0.0;1.0;5.0;3.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;6;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;MintCoin;contract;5;5;0;0;0;0;0;0;0;4;11;0;0;6;0;0.0;0.0;0.0;0.0;0.0;0.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;StandardToken;contract;51;36;0;5;6;1;1;11;21;2;3;5;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;BlackList;contract;31;20;0;2;2;0;0;2;12;1;1;2;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;8;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;BasicToken;contract;26;19;0;3;3;0;0;3;8;1;1;6;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;Ownable;contract;10;7;1;0;0;0;0;0;3;0;0;7;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;Pausable;contract;19;15;0;2;2;0;0;0;8;1;1;2;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;MultiTransferToken;contract;26;18;0;1;3;1;1;2;12;3;5;1;0;0;4;3.0;1.0;1.0;2.0;12.0;4.0
898F198a0138A51a357De0694948Ea8E4E808507_MintCoin.sol;89;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;7;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
