SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;ContractInterface;contract;17;15;1;10;10;0;0;17;0;0;0;1;0;0;0;1.0;0.0;0.0;1.7;0.0;0.0
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;Callable;contract;42;23;14;2;4;2;2;2;10;2;2;3;0;1;0;2.0;1.0;1.0;1.0;5.0;0.0
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;Administratable;contract;58;37;14;2;4;2;2;2;14;2;2;1;0;3;2;2.0;1.0;1.0;1.0;7.0;1.0
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;Allowance;contract;22;18;0;3;4;1;1;9;6;3;3;0;0;1;2;1.3333333333333333;0.3333333333333333;0.3333333333333333;3.0;2.0;0.6666666666666666
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;Ownable;contract;21;11;7;0;0;0;0;0;3;0;0;9;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;Balance;contract;27;20;0;5;5;0;0;8;5;3;3;0;0;2;4;1.0;0.0;0.0;1.6;1.0;0.8
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;Pausable;contract;39;21;12;2;2;0;0;0;8;2;2;2;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;Blacklistable;contract;31;21;6;1;1;0;0;1;7;0;0;2;1;1;1;1.0;0.0;0.0;1.0;7.0;1.0
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;V_test;contract;194;96;92;12;13;1;1;22;44;3;5;0;3;6;23;1.0833333333333333;0.08333333333333333;0.08333333333333333;1.8333333333333333;3.6666666666666665;1.9166666666666667
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;Blacklist;contract;17;15;0;2;4;2;2;2;6;3;3;0;0;1;0;2.0;1.0;1.0;1.0;3.0;0.0
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;SafeMath;library;41;22;15;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;Claimable;contract;32;18;10;2;2;0;0;1;8;1;1;8;0;1;2;1.0;0.0;0.0;0.5;4.0;1.0
8a25aaaad3c581bfd425482f1044d7574c2de0a4_ControllerTest.sol;8a;ControllerTest;contract;186;112;61;12;20;8;8;16;55;3;5;0;2;6;25;1.6666666666666667;0.6666666666666666;0.6666666666666666;1.3333333333333333;4.583333333333333;2.0833333333333335
