SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;PricingStrategy;contract;25;21;0;3;3;0;0;8;0;0;0;2;0;0;0;1.0;0.0;0.0;2.6666666666666665;0.0;0.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;ContributionForwarder;contract;24;15;1;3;3;0;0;0;4;0;0;1;0;2;2;1.0;0.0;0.0;0.0;1.3333333333333333;0.6666666666666666
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;StandardToken;contract;114;63;42;5;6;1;1;11;21;2;3;3;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;USDExchange;contract;64;46;4;3;9;4;4;5;30;1;1;2;0;3;8;3.0;1.3333333333333333;1.3333333333333333;1.6666666666666667;10.0;2.6666666666666665
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;RefundableCrowdsale;contract;113;83;5;6;12;5;5;5;39;3;4;1;3;3;21;2.0;0.8333333333333334;0.8333333333333334;0.8333333333333334;6.5;3.5
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;Ownable;contract;38;20;13;2;3;1;1;1;7;0;0;19;0;2;1;1.5;0.5;0.5;0.5;3.5;0.5
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;TokenVesting;contract;110;61;28;4;6;2;1;4;28;1;1;1;1;7;16;1.5;0.5;0.25;1.0;7.0;4.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;CHLAllocation;contract;165;130;1;8;10;2;2;28;32;1;1;0;4;9;16;1.25;0.25;0.25;3.5;4.0;2.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;CHLCrowdsale;contract;150;114;6;9;17;6;6;11;51;4;5;0;3;5;34;1.8888888888888888;0.6666666666666666;0.6666666666666666;1.2222222222222223;5.666666666666667;3.7777777777777777
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;TokenAllocator;contract;30;21;0;6;6;0;0;6;6;1;1;1;0;1;1;1.0;0.0;0.0;1.0;1.0;0.16666666666666666
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;HardCappedCrowdsale;contract;75;59;1;3;7;4;4;3;23;2;3;2;3;1;12;2.3333333333333335;1.3333333333333333;1.3333333333333333;1.0;7.666666666666667;4.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;SafeERC20;library;20;18;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;CHLAgent;contract;82;64;3;8;10;1;1;14;20;3;4;0;5;4;18;1.25;0.125;0.125;1.75;2.5;2.25
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;TimeLocked;contract;16;13;0;1;1;0;0;2;4;0;0;2;0;2;0;1.0;0.0;0.0;2.0;4.0;0.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;CHLPricingStrategy;contract;117;92;2;8;12;4;4;16;42;3;4;0;1;1;15;1.5;0.5;0.5;2.0;5.25;1.875
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;TimeLockedToken;contract;16;13;0;2;2;0;0;5;2;3;5;1;0;0;2;1.0;0.0;0.0;2.5;1.0;1.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;CHLReferral;contract;24;21;0;1;1;0;0;5;4;2;2;0;1;1;2;1.0;0.0;0.0;5.0;4.0;2.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;Agent;contract;7;6;0;1;1;0;0;0;1;0;0;3;0;0;0;1.0;0.0;0.0;0.0;1.0;0.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;MintableToken;contract;63;44;5;5;6;1;1;6;19;2;3;2;0;4;5;1.2;0.2;0.2;1.2;3.8;1.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;MintableCrowdsaleOnSuccessAgent;contract;48;34;7;4;5;1;1;7;14;2;2;1;2;3;1;1.25;0.25;0.25;1.75;3.5;0.25
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;PeriodicTokenVesting;contract;65;43;9;2;5;3;2;2;22;2;2;0;1;2;12;2.5;1.5;1.0;1.0;11.0;6.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;DistributedDirectContributionForwarder;contract;61;40;4;2;4;2;2;0;21;1;1;0;0;3;6;2.0;1.0;1.0;0.0;10.5;3.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;9;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;OpenZeppelinERC20;contract;32;25;2;0;0;0;0;0;11;3;5;1;0;4;0;0.0;0.0;0.0;0.0;0.0;0.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;CrowdsaleAgent;contract;32;23;0;4;4;0;0;7;7;1;1;2;1;2;0;1.0;0.0;0.0;1.75;1.75;0.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;Crowdsale;contract;17;9;0;5;5;0;0;7;0;0;0;4;0;1;0;1.0;0.0;0.0;1.4;0.0;0.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;Stats;contract;112;96;13;7;9;2;2;12;45;0;0;0;4;4;18;1.2857142857142858;0.2857142857142857;0.2857142857142857;1.7142857142857142;6.428571428571429;2.5714285714285716
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;CrowdsaleImpl;contract;169;123;12;13;25;12;6;18;65;1;2;3;4;14;23;1.9230769230769231;0.9230769230769231;0.46153846153846156;1.3846153846153846;5.0;1.7692307692307692
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;2;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;MintableTokenAllocator;contract;37;23;5;5;5;0;0;5;7;2;2;0;1;1;4;1.0;0.0;0.0;1.0;1.4;0.8
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;CHLToken;contract;13;8;1;0;0;0;0;0;0;4;11;0;3;5;0;0.0;0.0;0.0;0.0;0.0;0.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;Referral;contract;77;63;1;4;7;2;2;12;27;1;1;1;2;8;10;1.75;0.5;0.5;3.0;6.75;2.5
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;USDDateTiersPricingStrategy;contract;209;158;20;12;31;12;12;17;61;2;3;1;0;2;28;2.5833333333333335;1.0;1.0;1.4166666666666667;5.083333333333333;2.3333333333333335
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;7;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
8B8E088c7aD40D70d0A8183a399c8f9c24b5c8d8_CHLToken.sol;8b;MintableBurnableToken;contract;49;36;3;3;4;1;1;6;13;3;5;1;0;1;6;1.3333333333333333;0.3333333333333333;0.3333333333333333;2.0;4.333333333333333;2.0
