SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;PausableDividendToken;contract;26;20;1;6;6;0;0;11;6;4;7;2;0;0;6;1.0;0.0;0.0;1.8333333333333333;1.0;1.0
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;9;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;StandardToken;contract;87;36;42;5;6;1;1;11;21;2;3;8;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;JUNOToken;contract;27;19;0;1;1;0;0;0;5;6;9;0;0;5;5;1.0;0.0;0.0;0.0;5.0;5.0
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;11;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;CappedDividendToken;contract;20;11;6;2;2;0;0;3;4;5;8;2;0;1;3;1.0;0.0;0.0;1.5;2.0;1.5
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;3;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;DividendToken;contract;162;111;21;9;20;5;5;7;56;3;5;6;0;5;21;2.2222222222222223;0.5555555555555556;0.5555555555555556;0.7777777777777778;6.222222222222222;2.3333333333333335
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;MintableDividendToken;contract;17;13;0;1;1;0;0;2;5;4;7;4;0;0;3;1.0;0.0;0.0;2.0;5.0;3.0
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;Ownable;contract;34;16;11;2;2;0;0;1;6;0;0;9;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;PausableCappedDividendToken;contract;11;10;0;2;2;0;0;3;1;6;11;0;0;0;1;1.0;0.0;0.0;1.5;0.5;0.5
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;MintableToken;contract;37;21;10;2;2;0;0;2;10;3;5;5;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;BasicToken;contract;40;19;14;3;3;0;0;3;8;1;1;9;0;2;4;1.0;0.0;0.0;1.0;2.6666666666666665;1.3333333333333333
8b5e31d05c3df25f809f2f82af098e8396ad82c8_JUNOToken.sol;8b;PausableMintableDividendToken;contract;5;5;0;1;1;0;0;2;1;5;10;0;0;0;1;1.0;0.0;0.0;2.0;1.0;1.0
