SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;SafeMathLib;library;20;16;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;FractionalERC20;contract;5;3;0;0;0;0;0;0;0;2;2;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;FinalizeAgent;contract;17;7;6;3;3;0;0;0;1;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.3333333333333333;0.0
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;Crowdsale;contract;496;188;221;29;42;11;3;40;103;2;2;1;3;22;57;1.4482758620689655;0.3793103448275862;0.10344827586206896;1.3793103448275863;3.5517241379310347;1.9655172413793103
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;AllocatedCrowdsale;contract;43;22;15;5;6;1;1;13;7;3;3;0;1;1;4;1.2;0.2;0.2;2.6;1.4;0.8
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;3;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;Haltable;contract;29;21;2;2;2;0;0;0;8;1;1;2;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;PricingStrategy;contract;37;14;19;4;4;0;0;7;3;0;0;0;0;0;0;1.0;0.0;0.0;1.75;0.75;0.0
8bda90f5d0aa47cb42f07326670dcae6be1705ab_AllocatedCrowdsale.sol;8b;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;2;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
