SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;5;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;4;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;TokenRecipient;contract;5;3;0;1;1;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;BurnableToken;contract;20;11;6;1;1;0;0;1;6;3;4;1;0;0;4;1.0;0.0;0.0;1.0;6.0;4.0
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;2;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;FunctionXToken;contract;70;47;0;11;11;0;0;15;19;4;9;0;0;7;12;1.0;0.0;0.0;1.3636363636363635;1.7272727272727273;1.0909090909090908
8c15ef5b4b21951d50e53e4fbda8298ffad25057_FunctionXToken.sol;8c;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
