SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;Ownable;contract;21;16;0;1;1;0;0;1;6;0;0;5;0;1;1;1.0;0.0;0.0;1.0;6.0;1.0
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;8;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;TimeLockToken;contract;33;27;0;5;5;0;0;9;11;3;5;1;0;1;2;1.0;0.0;0.0;1.8;2.2;0.4
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;Pausable;contract;39;31;0;3;3;0;0;1;13;1;1;2;0;3;1;1.0;0.0;0.0;0.3333333333333333;4.333333333333333;0.3333333333333333
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;FreezableToken;contract;31;25;0;5;5;0;0;8;9;3;5;1;0;1;2;1.0;0.0;0.0;1.6;1.8;0.4
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;BurnableToken;contract;13;10;0;1;1;0;0;1;5;2;2;1;0;0;3;1.0;0.0;0.0;1.0;5.0;3.0
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;BasicToken;contract;26;19;0;3;3;0;0;3;8;1;1;6;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;StandardToken;contract;45;36;0;5;6;1;1;11;21;2;3;4;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
8fc918368f312ba045495fe67e133a43c67b4bab_SmartPayCoin.sol;8f;SmartPayCoin;contract;13;11;0;0;0;0;0;0;3;4;10;0;1;6;0;0.0;0.0;0.0;0.0;0.0;0.0
