SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;Ownable;contract;68;33;27;5;5;0;0;2;12;0;0;1;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;HydroInterface;interface;14;13;0;10;10;0;0;19;0;0;0;0;0;0;0;1.0;0.0;0.0;1.9;0.0;0.0
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;itself;contract;100;77;7;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;SnowflakeViaInterface;interface;10;10;0;4;4;0;0;14;0;0;0;0;0;4;0;1.0;0.0;0.0;3.5;0.0;0.0
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;Snowflake;contract;344;275;23;20;27;7;7;107;315;1;1;0;4;10;54;1.35;0.35;0.35;5.35;15.75;2.7
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;IdentityRegistryInterface;interface;51;45;3;26;26;0;0;68;0;0;0;0;0;0;0;1.0;0.0;0.0;2.6153846153846154;0.0;0.0
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;".&quot;);if(_bytes.length<=32)";contract;9;7;1;0;0;0;0;0;0;0;0;0;0;12;0;0.0;0.0;0.0;0.0;0.0;0.0
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;ClientRaindropInterface;interface;18;14;0;11;11;0;0;11;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
94a65bac5f601503847ee9ec5beaca92a511af92_Snowflake.sol;94;SnowflakeResolverInterface;interface;6;6;0;4;4;0;0;5;0;0;0;0;0;0;0;1.0;0.0;0.0;1.25;0.0;0.0
