SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;6;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;ERC20Mintable;contract;12;6;6;1;1;0;0;2;2;2;3;2;0;0;1;1.0;0.0;0.0;2.0;2.0;1.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;MinterRole;contract;39;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;SafeERC20;library;48;28;12;6;7;1;1;18;12;0;0;0;1;0;13;1.1666666666666667;0.16666666666666666;0.16666666666666666;3.0;2.0;2.1666666666666665
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;ERC20Capped;contract;20;14;3;2;2;0;0;2;5;3;4;1;0;1;2;1.0;0.0;0.0;1.0;2.5;1.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;1;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;QuadransToken;contract;13;7;3;0;0;0;0;0;0;4;9;0;1;8;0;0.0;0.0;0.0;0.0;0.0;0.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;2;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;ERC20Pausable;contract;21;17;0;5;5;0;0;11;5;2;4;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
9Adc7710E9d1b29d8a78c04d52D32532297C2Ef3_QuadransToken.sol;9a;ERC20;contract;173;64;89;13;13;0;0;26;32;1;1;4;0;3;18;1.0;0.0;0.0;2.0;2.4615384615384617;1.3846153846153846
