SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;Node;contract;57;41;1;7;8;1;1;13;18;3;3;0;1;2;11;1.1428571428571428;0.14285714285714285;0.14285714285714285;1.8571428571428572;2.5714285714285716;1.5714285714285714
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;NodePhases;contract;440;343;6;29;78;25;25;47;220;1;2;0;2;12;86;2.689655172413793;0.8620689655172413;0.8620689655172413;1.6206896551724137;7.586206896551724;2.9655172413793105
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;OraclizeAddrResolverI;contract;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;Ownable;contract;38;20;13;3;4;1;1;1;7;0;0;5;0;2;1;1.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;2.3333333333333335;0.3333333333333333
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;TokenRecipient;contract;3;3;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;NodeAllocation;contract;98;72;3;11;13;2;2;11;28;1;1;0;0;4;7;1.1818181818181819;0.18181818181818182;0.18181818181818182;1.0;2.5454545454545454;0.6363636363636364
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;OraclizeI;contract;16;16;0;13;13;0;0;30;0;0;0;0;0;1;0;1.0;0.0;0.0;2.3076923076923075;0.0;0.0
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;ERC20;contract;147;98;8;9;18;5;5;22;50;1;1;2;1;9;11;2.0;0.5555555555555556;0.5555555555555556;2.4444444444444446;5.555555555555555;1.2222222222222223
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;MintingERC20;contract;52;41;0;4;6;1;1;11;14;2;2;1;0;2;6;1.5;0.25;0.25;2.75;3.5;1.5
a73a6a1371bb51f1f85becbc8784a8b0c10def95_NodeAllocation.sol;a7;usingOraclize;contract;982;830;82;92;175;51;47;242;649;0;0;1;2;19;195;1.9021739130434783;0.5543478260869565;0.5108695652173914;2.630434782608696;7.054347826086956;2.119565217391304
