SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;ERC20Like;contract;350;298;0;24;38;11;8;48;135;2;3;1;0;6;31;1.5833333333333333;0.4583333333333333;0.3333333333333333;2.0;5.625;1.2916666666666667
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;AddressExtension;library;21;18;0;3;3;0;0;3;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;1.0;0.0
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;Authorizable;contract;24;19;0;1;1;0;0;1;7;0;0;1;1;1;1;1.0;0.0;0.0;1.0;7.0;1.0
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;SecureERC20;contract;9;7;0;4;4;0;0;9;0;1;1;2;0;0;0;1.0;0.0;0.0;2.25;0.0;0.0
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;FsTKToken;contract;59;52;0;11;11;0;0;25;0;0;0;2;0;0;0;1.0;0.0;0.0;2.272727272727273;0.0;0.0
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;Math;library;84;69;0;14;18;3;3;29;25;0;0;0;1;0;10;1.2857142857142858;0.21428571428571427;0.21428571428571427;2.0714285714285716;1.7857142857142858;0.7142857142857143
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;FsTKAuthority;contract;6;5;0;3;3;0;0;6;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;IssuerContract;contract;27;21;0;2;2;0;0;1;7;0;0;1;0;2;1;1.0;0.0;0.0;0.5;3.5;0.5
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;ERC20;contract;11;9;0;5;5;0;0;10;0;0;0;3;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
a98ed1fd277ead2c00d143cbe1465f59e65a0066_SmartToken.sol;a9;SmartToken;contract;64;56;0;5;5;0;0;9;10;3;6;0;1;4;7;1.0;0.0;0.0;1.8;2.0;1.4
