SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;Nike;contract;17;14;0;1;1;0;0;0;5;4;10;0;1;6;1;1.0;0.0;0.0;0.0;5.0;1.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;2;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;1;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;4;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;6;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;SafeERC20;library;13;11;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;NoOwner;contract;2;2;0;0;0;0;0;0;0;3;5;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;HasNoTokens;contract;16;8;6;1;1;0;0;3;4;2;2;2;0;0;1;1.0;0.0;0.0;3.0;4.0;1.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;HasNoContracts;contract;11;6;4;1;1;0;0;1;2;1;1;2;1;0;2;1.0;0.0;0.0;1.0;2.0;2.0
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;HasNoEther;contract;26;10;13;3;3;0;0;0;2;1;1;2;0;0;2;1.0;0.0;0.0;0.0;0.6666666666666666;0.6666666666666666
aa17c168691b4e6f3c689c2b0ac856e14ed45c82_Nike.sol;aa;CanReclaimToken;contract;13;7;4;1;1;0;0;1;2;1;1;3;1;0;2;1.0;0.0;0.0;1.0;2.0;2.0
