SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;GlobCoinToken;contract;33;19;10;3;3;0;0;7;5;4;6;0;0;6;3;1.0;0.0;0.0;2.3333333333333335;1.6666666666666667;1.0
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;StandardToken;contract;80;38;29;5;6;1;1;11;21;2;3;2;0;1;11;1.2;0.2;0.2;2.2;4.2;2.2
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;FinalizableCrowdsale;contract;29;14;9;2;2;0;0;0;5;1;2;2;0;1;3;1.0;0.0;0.0;0.0;2.5;1.5
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;Crowdsale;contract;93;46;22;7;7;0;0;4;22;0;0;4;1;6;11;1.0;0.0;0.0;0.5714285714285714;3.142857142857143;1.5714285714285714
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;CappedCrowdsale;contract;25;16;4;3;3;0;0;1;6;1;1;1;0;1;4;1.0;0.0;0.0;0.3333333333333333;2.0;1.3333333333333333
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;RefundVault;contract;45;37;0;5;5;0;0;3;17;1;1;0;0;3;11;1.0;0.0;0.0;0.6;3.4;2.2
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;BasicToken;contract;30;14;11;2;2;0;0;3;6;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;6;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;GlobCoinTokenSale;contract;201;149;20;17;26;6;6;20;85;3;5;0;2;13;33;1.5294117647058822;0.35294117647058826;0.35294117647058826;1.1764705882352942;5.0;1.9411764705882353
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
aa2ac6ab664c9c021292753a9131af4221587476_GlobCoinTokenSale.sol;aa;RefundableCrowdsale;contract;46;29;7;5;6;1;1;1;12;2;3;1;1;2;10;1.2;0.2;0.2;0.2;2.4;2.0
