SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;6;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;CryptoCardsGumToken;contract;2;2;0;0;0;0;0;0;0;5;8;0;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;2;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;2;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;ERC20Capped;contract;20;14;3;2;2;0;0;2;5;3;4;2;0;1;2;1.0;0.0;0.0;1.0;2.5;1.0
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;MinterRole;contract;39;30;0;5;5;0;0;4;10;0;0;4;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;CryptoCardsERC20;contract;16;11;4;1;1;0;0;3;2;4;7;1;0;0;2;1.0;0.0;0.0;3.0;2.0;2.0
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;ERC20;contract;170;66;83;12;12;0;0;23;36;1;1;4;0;3;19;1.0;0.0;0.0;1.9166666666666667;3.0;1.5833333333333333
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
aafa4bf1696732752a4ad4d27dd1ea6793f24fc0_CryptoCardsGumToken.sol;aa;ERC20Mintable;contract;12;6;6;1;1;0;0;2;2;2;3;3;0;0;1;1.0;0.0;0.0;2.0;2.0;1.0
