SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;6;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;Ownable;contract;53;27;18;3;3;0;0;2;9;0;0;3;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;StandardToken;contract;114;63;42;5;6;1;1;11;21;2;3;2;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;RBAC;contract;92;36;46;4;4;0;0;8;8;0;0;2;1;1;4;1.0;0.0;0.0;2.0;2.0;1.0
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;1;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;4;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;1;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;Whitelist;contract;83;46;29;5;7;2;2;5;11;1;2;1;0;2;5;1.4;0.4;0.4;1.0;2.2;1.0
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;Roles;library;46;28;14;4;4;0;0;8;4;0;0;0;0;0;1;1.0;0.0;0.0;2.0;1.0;0.25
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;DXCASH;contract;80;71;0;4;4;0;0;9;16;4;9;0;0;4;4;1.0;0.0;0.0;2.25;4.0;1.0
ab014858716f1010de51401c5e149bfac25f91b6_DXCASH.sol;ab;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
