SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;TokenController;contract;23;6;15;3;3;0;0;7;0;0;0;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;Controlled;contract;15;8;4;2;2;0;0;1;4;0;0;1;0;1;0;1.0;0.0;0.0;0.5;2.0;0.0
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;LPVault;interface;4;4;0;2;2;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;1.5;0.0;0.0
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;LPPDacs;contract;195;136;30;10;13;2;2;34;38;2;3;0;3;4;19;1.3;0.2;0.2;3.4;3.8;1.9
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;ApproveAndCallFallBack;contract;3;3;0;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;Escapable;contract;78;39;31;5;6;1;1;6;19;1;1;3;1;3;6;1.2;0.2;0.2;1.2;3.8;1.2
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;MiniMeToken;contract;483;234;186;21;40;14;14;44;112;1;1;0;2;13;46;1.9047619047619047;0.6666666666666666;0.6666666666666666;2.0952380952380953;5.333333333333333;2.1904761904761907
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;ERC20;contract;24;10;6;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;MiniMeTokenFactory;contract;34;22;10;1;1;0;0;6;3;0;0;0;1;0;2;1.0;0.0;0.0;6.0;3.0;2.0
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;Owned;contract;70;38;20;5;5;0;0;3;19;0;0;4;0;2;7;1.0;0.0;0.0;0.6;3.8;1.4
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;ILiquidPledgingPlugin;contract;57;15;40;2;2;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;5.0;0.0;0.0
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;LiquidPledgingBase;contract;563;316;197;27;42;11;11;57;130;2;2;1;2;10;52;1.5555555555555556;0.4074074074074074;0.4074074074074074;2.111111111111111;4.814814814814815;1.9259259259259258
ab0975186c6c94b8f4cb088eeac91a7589869435_LPPDacs.sol;ab;LiquidPledging;contract;784;471;224;24;54;19;17;59;185;3;3;0;0;1;95;2.25;0.7916666666666666;0.7083333333333334;2.4583333333333335;7.708333333333333;3.9583333333333335
