SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;TetherToken;contract;151;104;27;14;23;9;9;23;51;4;8;0;0;2;40;1.6428571428571428;0.6428571428571429;0.6428571428571429;1.6428571428571428;3.642857142857143;2.857142857142857
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;4;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;3;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;1;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;StandardTokenWithFees;contract;69;52;3;4;8;3;3;8;28;3;5;1;0;9;16;2.0;0.75;0.75;2.0;7.0;4.0
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;6;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;UpgradedStandardToken;contract;10;8;2;5;5;0;0;16;0;3;4;0;0;1;0;1.0;0.0;0.0;3.2;0.0;0.0
abdf147870235fcfc34153828c769a70b3fae01f_TetherToken.sol;ab;BlackList;contract;24;16;1;3;3;0;0;3;5;1;1;1;0;1;2;1.0;0.0;0.0;1.0;1.6666666666666667;0.6666666666666666
