SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;usingOraclize;contract;1062;934;61;94;173;49;45;244;655;0;0;1;3;19;203;1.8404255319148937;0.5212765957446809;0.4787234042553192;2.595744680851064;6.968085106382978;2.1595744680851063
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;OraclizeI;contract;16;14;0;11;11;0;0;28;0;0;0;0;0;1;0;1.0;0.0;0.0;2.5454545454545454;0.0;0.0
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;Buffer;library;115;85;41;6;12;5;5;13;32;0;0;0;0;0;5;2.0;0.8333333333333334;0.8333333333333334;2.1666666666666665;5.333333333333333;0.8333333333333334
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;OraclizeAddrResolverI;contract;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;CBOR;library;68;57;0;9;15;6;2;16;26;0;0;0;1;7;12;1.6666666666666667;0.6666666666666666;0.2222222222222222;1.7777777777777777;2.888888888888889;1.3333333333333333
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;solcChecker;contract;3;2;1;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;Ownable;contract;43;24;13;2;2;0;0;1;9;0;0;2;0;2;1;1.0;0.0;0.0;0.5;4.5;0.5
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;Manageable;contract;27;23;0;3;5;2;2;3;14;1;1;0;0;1;1;1.6666666666666667;0.6666666666666666;0.6666666666666666;1.0;4.666666666666667;0.3333333333333333
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;Sale;contract;33;23;3;0;0;0;0;0;0;1;2;0;1;20;0;0.0;0.0;0.0;0.0;0.0;0.0
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;SafeMath;library;41;23;14;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
ace8ae444aaf0a6e898b0f62f2ad22d67aee04ba_Sale.sol;ac;IERC20;interface;11;11;0;7;7;0;0;12;0;0;0;0;0;0;0;1.0;0.0;0.0;1.7142857142857142;0.0;0.0
