SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;AllocatedCrowdsale;contract;7;4;0;1;1;0;0;7;0;4;5;0;1;0;0;1.0;0.0;0.0;7.0;0.0;0.0
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;PricingStrategy;contract;37;14;19;4;4;0;0;7;3;0;0;0;0;0;0;1.0;0.0;0.0;1.75;0.75;0.0
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;AllocatedCrowdsaleMixin;contract;47;22;19;5;7;2;2;7;8;3;3;1;0;1;4;1.4;0.4;0.4;1.4;1.6;0.8
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;CrowdsaleBase;contract;412;167;162;20;48;18;11;21;96;2;2;3;3;20;31;2.4;0.9;0.55;1.05;4.8;1.55
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;Crowdsale;contract;133;55;64;11;18;4;4;27;35;3;3;1;1;3;19;1.6363636363636365;0.36363636363636365;0.36363636363636365;2.4545454545454546;3.1818181818181817;1.7272727272727273
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;5;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;FractionalERC20;contract;5;3;0;0;0;0;0;0;0;2;2;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;Haltable;contract;29;21;2;2;2;0;0;0;11;1;1;4;0;1;0;1.0;0.0;0.0;0.0;5.5;0.0
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;2;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;SafeMathLib;library;20;16;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
ad977b3458779cb27b2066be30b84d5b5ddf5a8a_AllocatedCrowdsale.sol;ad;FinalizeAgent;contract;17;7;6;3;3;0;0;0;1;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.3333333333333333;0.0
