SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;CentrallyIssuedToken;contract;76;38;22;4;8;4;4;10;18;5;7;0;0;5;2;2.0;1.0;1.0;2.5;4.5;0.5
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;StandardToken;contract;53;20;23;3;3;0;0;7;11;2;3;4;0;1;6;1.0;0.0;0.0;2.3333333333333335;3.6666666666666665;2.0
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;BasicToken;contract;27;13;10;2;2;0;0;3;5;1;1;5;0;1;3;1.0;0.0;0.0;1.5;2.5;1.5
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;StandardTokenExt;contract;7;5;1;1;1;0;0;0;1;3;4;3;0;0;0;1.0;0.0;0.0;0.0;1.0;0.0
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;BurnableToken;contract;24;11;9;1;1;0;0;1;5;4;5;1;0;1;4;1.0;0.0;0.0;1.0;5.0;4.0
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;UpgradeAgent;contract;12;7;1;2;2;0;0;2;1;0;0;0;0;1;0;1.0;0.0;0.0;1.0;0.5;0.0
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
ae73b38d1c9a8b274127ec30160a4927c4d71824_CentrallyIssuedToken.sol;ae;UpgradeableToken;contract;119;49;47;6;19;6;4;4;38;4;5;1;1;3;14;3.1666666666666665;1.0;0.6666666666666666;0.6666666666666666;6.333333333333333;2.3333333333333335
