SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;HbeToken;contract;92;48;30;3;6;2;2;7;37;5;11;0;0;9;7;2.0;0.6666666666666666;0.6666666666666666;2.3333333333333335;12.333333333333334;2.3333333333333335
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;PausableToken;contract;58;53;0;5;5;0;0;11;5;3;6;2;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;SnapshotToken;contract;239;103;106;13;20;5;5;24;71;4;9;1;0;2;25;1.5384615384615385;0.38461538461538464;0.38461538461538464;1.8461538461538463;5.461538461538462;1.9230769230769231
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;SafeERC20;library;32;30;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;3;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;2;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;StandardToken;contract;111;63;39;5;6;1;1;11;21;2;3;4;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;CanReclaimToken;contract;13;7;4;1;1;0;0;1;2;1;1;1;1;0;2;1.0;0.0;0.0;1.0;2.0;2.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;2;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;6;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;8;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;6;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
ae8e237d2695149edb495fafb30abab3c7dad47a_HbeToken.sol;ae;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
