SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;1;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;TutellusPartnerCrowdsale;contract;82;63;4;5;6;1;1;12;29;2;4;0;3;6;18;1.2;0.2;0.2;2.4;5.8;3.6
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;Authorizable;contract;22;18;0;2;2;0;0;2;7;1;1;2;0;1;2;1.0;0.0;0.0;1.0;3.5;1.0
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;8;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;StandardToken;contract;78;37;30;5;6;1;1;11;20;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.0;2.0
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;TutellusToken;contract;5;5;0;0;0;0;0;0;0;4;6;0;0;5;0;0.0;0.0;0.0;0.0;0.0;0.0
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;CappedCrowdsale;contract;25;16;4;3;3;0;0;1;6;1;1;1;0;1;4;1.0;0.0;0.0;0.3333333333333333;2.0;1.3333333333333333
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;TutellusVault;contract;17;13;0;2;2;0;0;2;5;2;2;0;1;1;4;1.0;0.0;0.0;1.0;2.5;2.0
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;TutellusVestingFactory;contract;75;62;3;7;12;5;5;11;32;2;2;0;2;3;18;1.7142857142857142;0.7142857142857143;0.7142857142857143;1.5714285714285714;4.571428571428571;2.5714285714285716
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;TokenVesting;contract;112;61;28;6;8;2;1;9;32;1;1;0;1;8;21;1.3333333333333333;0.3333333333333333;0.16666666666666666;1.5;5.333333333333333;3.5
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;SafeERC20;library;13;11;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;Crowdsale;contract;93;48;22;7;7;0;0;5;24;0;0;2;1;6;11;1.0;0.0;0.0;0.7142857142857143;3.4285714285714284;1.5714285714285714
b334247f37f4d9dcbf480c4f28fcc7376410a906_TutellusPartnerCrowdsale.sol;b3;BasicToken;contract;30;14;11;2;2;0;0;3;6;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
