SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;PricingStrategy;contract;37;14;19;4;4;0;0;7;3;0;0;0;0;0;0;1.0;0.0;0.0;1.75;0.75;0.0
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;FractionalERC20;contract;5;3;0;0;0;0;0;0;0;2;2;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;Haltable;contract;29;21;2;2;2;0;0;0;11;1;1;3;0;1;0;1.0;0.0;0.0;0.0;5.5;0.0
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;CrowdsaleBase;contract;412;167;162;20;48;18;11;21;96;2;2;1;3;20;31;2.4;0.9;0.55;1.05;4.8;1.55
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;Crowdsale;contract;133;55;64;11;18;4;4;27;35;3;3;0;1;3;19;1.6363636363636365;0.36363636363636365;0.36363636363636365;2.4545454545454546;3.1818181818181817;1.7272727272727273
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;SafeMathLib;library;20;16;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;2;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;PreICOProxyBuyer;contract;304;152;82;18;42;11;11;12;84;2;2;0;2;15;34;2.3333333333333335;0.6111111111111112;0.6111111111111112;0.6666666666666666;4.666666666666667;1.8888888888888888
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
b341e3b4034236b6a9af137e01986cf846733173_PreICOProxyBuyer.sol;b3;FinalizeAgent;contract;17;7;6;3;3;0;0;0;1;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.3333333333333333;0.0
