SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;5;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;3;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;HasNoTokens;contract;16;8;6;1;1;0;0;3;4;2;2;2;0;0;1;1.0;0.0;0.0;3.0;4.0;1.0
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;SafeMath;library;25;19;3;3;4;1;1;6;10;0;0;0;0;0;3;1.3333333333333333;0.3333333333333333;0.3333333333333333;2.0;3.3333333333333335;1.0
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;HasNoContracts;contract;11;6;4;1;1;0;0;1;2;1;1;2;1;0;2;1.0;0.0;0.0;1.0;2.0;2.0
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;Ownable;contract;25;16;4;1;1;0;0;1;6;0;0;9;0;1;1;1.0;0.0;0.0;1.0;6.0;1.0
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;LockableToken;contract;73;43;12;9;9;0;0;14;12;3;5;1;0;2;5;1.0;0.0;0.0;1.5555555555555556;1.3333333333333333;0.5555555555555556
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;PLGCrowdsale;contract;185;97;49;13;14;1;1;6;52;1;1;0;2;9;22;1.0769230769230769;0.07692307692307693;0.07692307692307693;0.46153846153846156;4.0;1.6923076923076923
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;CanReclaimToken;contract;13;7;4;1;1;0;0;1;2;1;1;3;1;0;2;1.0;0.0;0.0;1.0;2.0;2.0
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;Whitelist;contract;97;52;29;8;11;3;3;14;23;1;1;0;0;2;9;1.375;0.375;0.375;1.75;2.875;1.125
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;StandardToken;contract;114;63;42;5;6;1;1;11;21;2;3;2;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;PLGToken;contract;43;26;9;2;3;1;1;3;13;4;11;0;1;6;5;1.5;0.5;0.5;1.5;6.5;2.5
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;HasNoEther;contract;25;9;13;2;2;0;0;0;2;1;1;2;0;0;1;1.0;0.0;0.0;0.0;1.0;0.5
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;SafeERC20;library;20;18;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
B6a2557CBFcB9AC48BF95F8096D579b3ebf061d1_PLGCrowdsale.sol;b6;NoOwner;contract;2;2;0;0;0;0;0;0;0;3;5;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
