SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;3;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;5;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;2;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;BlockportPresale;contract;64;35;20;5;5;0;0;9;17;2;5;0;2;3;7;1.0;0.0;0.0;1.8;3.4;1.4
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;BlockportToken;contract;11;9;0;1;1;0;0;1;1;5;9;0;0;6;0;1.0;0.0;0.0;1.0;1.0;0.0
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;Crowdsale;contract;100;54;24;9;9;0;0;5;26;0;0;2;1;6;11;1.0;0.0;0.0;0.5555555555555556;2.888888888888889;1.2222222222222223
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;CappedCrowdsale;contract;25;16;4;3;3;0;0;1;6;1;1;1;0;1;4;1.0;0.0;0.0;0.3333333333333333;2.0;1.3333333333333333
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;7;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;CappedToken;contract;22;11;6;2;2;0;0;3;4;4;6;1;0;1;3;1.0;0.0;0.0;1.5;2.0;1.5
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;StandardToken;contract;82;39;33;6;7;1;1;13;22;2;3;4;0;1;11;1.1666666666666667;0.16666666666666666;0.16666666666666666;2.1666666666666665;3.6666666666666665;1.8333333333333333
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
b901cbb8b07e0dd7e114284ca63f4092c7683322_BlockportPresale.sol;b9;Whitelist;contract;40;32;0;5;7;2;2;3;27;1;1;1;0;2;0;1.4;0.4;0.4;0.6;5.4;0.0
