SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;DividendCheckpointStorage;contract;37;26;16;0;0;0;0;0;0;0;0;2;0;11;0;0.0;0.0;0.0;0.0;0.0;0.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;Math;library;17;14;0;4;4;0;0;8;4;0;0;0;0;0;0;1.0;0.0;0.0;2.0;1.0;0.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;ICheckpoint;interface;3;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;Ownable;contract;53;27;18;3;3;0;0;2;9;0;0;0;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;ModuleStorage;contract;22;11;5;0;0;0;0;0;3;0;0;3;1;5;0;0.0;0.0;0.0;0.0;0.0;0.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;ISecurityToken;interface;302;59;201;48;48;0;0;74;0;0;0;0;0;0;0;1.0;0.0;0.0;1.5416666666666667;0.0;0.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;Module;contract;48;32;9;1;1;0;0;1;42;1;2;2;0;0;1;1.0;0.0;0.0;1.0;42.0;1.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;DividendCheckpoint;contract;382;225;129;24;42;16;16;29;167;2;5;1;0;0;38;1.75;0.6666666666666666;0.6666666666666666;1.2083333333333333;6.958333333333333;1.5833333333333333
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;ERC20DividendCheckpointStorage;contract;6;3;1;0;0;0;0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;IModule;interface;18;5;9;3;3;0;0;1;0;0;0;3;0;0;0;1.0;0.0;0.0;0.3333333333333333;0.0;0.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;IOwnable;interface;18;5;10;3;3;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;0.3333333333333333;0.0;0.0
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;ERC20DividendCheckpoint;contract;271;184;73;9;12;3;3;44;102;3;7;0;1;0;29;1.3333333333333333;0.3333333333333333;0.3333333333333333;4.888888888888889;11.333333333333334;3.2222222222222223
b96d93ac50e45d4e2f7da53a458900e7e5d33db5_ERC20DividendCheckpoint.sol;b9;IERC20;interface;13;13;0;9;9;0;0;14;0;0;0;0;0;0;0;1.0;0.0;0.0;1.5555555555555556;0.0;0.0
