SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;DxDaoClaimRedeemHelper;contract;112;88;3;3;12;7;3;6;58;0;0;0;2;4;8;4.0;2.3333333333333335;1.0;2.0;19.333333333333332;2.6666666666666665
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;ERC20Burnable;contract;18;8;9;2;2;0;0;3;2;2;2;1;0;0;2;1.0;0.0;0.0;1.5;1.0;1.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;Address;library;21;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;should;contract;18;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;3;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;SafeERC20;library;53;28;14;3;3;0;0;10;13;0;0;0;0;22;6;1.0;0.0;0.0;3.3333333333333335;4.333333333333333;2.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;11;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;DAOToken;contract;33;18;12;1;2;1;1;2;7;3;4;0;0;4;2;2.0;1.0;1.0;2.0;7.0;2.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;PriceOracleInterface;interface;5;3;0;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;ERC20;contract;170;66;83;12;12;0;0;23;36;1;1;2;0;3;19;1.0;0.0;0.0;1.9166666666666667;3.0;1.5833333333333333
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;LockingToken4Reputation;contract;83;42;28;3;3;0;0;12;20;1;2;1;2;2;6;1.0;0.0;0.0;4.0;6.666666666666667;2.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;DxGenAuction4Rep;contract;3;3;0;0;0;0;0;0;0;2;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;GlobalConstraintInterface;contract;12;6;4;3;3;0;0;6;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;ControllerInterface;interface;184;53;110;21;21;0;0;53;0;0;0;0;2;2;0;1.0;0.0;0.0;2.5238095238095237;0.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;LockingEth4Reputation;contract;45;24;18;2;2;0;0;7;1;1;2;1;1;4;1;1.0;0.0;0.0;3.5;0.5;0.5
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;DxLockMgnForRep;contract;3;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;DxLockWhitelisted4Rep;contract;4;3;1;0;0;0;0;0;0;2;3;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;DxLockEth4Rep;contract;3;3;0;0;0;0;0;0;0;2;3;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;Locking4Reputation;contract;154;96;42;4;4;0;0;14;110;0;0;6;2;13;15;1.0;0.0;0.0;3.5;27.5;3.75
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;Auction4Reputation;contract;139;82;47;5;5;0;0;13;86;1;1;1;3;11;15;1.0;0.0;0.0;2.6;17.2;3.0
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;Reputation;contract;161;92;55;8;17;6;6;12;46;1;1;0;0;3;13;2.125;0.75;0.75;1.5;5.75;1.625
BA87014695D66720Fe7e6b98D3fCa2f594e67916_DxDaoClaimRedeemHelper.sol;ba;ExternalLocking4Reputation;contract;70;42;23;2;4;1;1;8;33;1;2;1;2;4;4;2.0;0.5;0.5;4.0;16.5;2.0
