SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;Freezer;contract;23;17;0;3;3;0;0;2;6;0;0;3;0;1;2;1.0;0.0;0.0;0.6666666666666666;2.0;0.6666666666666666
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;Ownable;contract;29;21;2;3;3;0;0;2;9;0;0;2;0;1;2;1.0;0.0;0.0;0.6666666666666666;3.0;0.6666666666666666
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;FreezeableToken;contract;36;23;5;5;5;0;0;11;11;3;7;1;0;0;10;1.0;0.0;0.0;2.2;2.2;2.0
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;ERC20Basic;contract;9;6;2;3;3;0;0;3;0;0;0;5;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;SafeMath;library;13;11;0;2;2;0;0;4;5;0;0;0;0;0;2;1.0;0.0;0.0;2.0;2.5;1.0
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;ERC20;contract;10;6;2;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;ArmorsToken;contract;17;12;2;0;0;0;0;0;5;4;8;0;0;6;0;0.0;0.0;0.0;0.0;0.0;0.0
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;Freezeable;contract;43;28;5;3;4;1;1;3;13;1;1;2;0;1;2;1.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;4.333333333333333;0.6666666666666666
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;StandardToken;contract;49;36;5;5;6;1;1;11;21;2;3;2;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
bc8af0a58112ef9f3b8b7776a20be3f27fd4f71e_ArmorsToken.sol;bc;BasicToken;contract;34;22;4;3;3;0;0;3;8;1;1;3;0;5;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
