SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;Address;library;21;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;ERC721MetadataMintable;contract;14;7;7;1;1;0;0;3;3;4;7;1;0;0;2;1.0;0.0;0.0;3.0;3.0;2.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;ERC721Full;contract;5;4;1;0;0;0;0;0;0;4;8;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;1;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;IERC721Receiver;contract;18;4;14;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;IERC721Enumerable;contract;6;5;0;3;3;0;0;3;0;2;2;3;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;ERC721Enumerable;contract;188;67;94;11;12;1;1;17;35;3;5;2;0;5;15;1.0909090909090908;0.09090909090909091;0.09090909090909091;1.5454545454545454;3.1818181818181817;1.3636363636363635
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;MinterRole;contract;39;30;0;5;5;0;0;4;10;0;0;3;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;ERC165;contract;35;14;17;2;2;0;0;2;4;1;1;8;0;2;1;1.0;0.0;0.0;1.0;2.0;0.5
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;DozerDoll;contract;26;19;3;3;4;1;1;7;5;5;14;0;0;0;4;1.3333333333333333;0.3333333333333333;0.3333333333333333;2.3333333333333335;1.6666666666666667;1.3333333333333333
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;ERC721Burnable;contract;10;6;4;1;1;0;0;1;2;3;4;1;0;0;2;1.0;0.0;0.0;1.0;2.0;2.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;IERC165;interface;9;3;6;1;1;0;0;1;0;0;0;12;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;ERC721;contract;273;100;137;17;19;2;2;35;52;2;3;7;0;6;29;1.1176470588235294;0.11764705882352941;0.11764705882352941;2.0588235294117645;3.0588235294117645;1.7058823529411764
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;IERC721Metadata;contract;5;5;0;3;3;0;0;1;0;2;2;4;0;0;0;1.0;0.0;0.0;0.3333333333333333;0.0;0.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;ERC721Metadata;contract;82;31;40;5;6;1;1;5;12;3;5;3;0;4;4;1.2;0.2;0.2;1.0;2.4;0.8
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;IERC721;contract;19;14;0;9;9;0;0;19;0;1;1;10;0;0;0;1.0;0.0;0.0;2.111111111111111;0.0;0.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;ERC721Mintable;contract;12;6;6;1;1;0;0;2;2;3;5;1;0;0;1;1.0;0.0;0.0;2.0;2.0;1.0
Bd13e53255eF917DA7557db1B7D2d5C38a2EFe24_DozerDoll.sol;bd;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
