SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;TokenTimelock;contract;40;22;10;3;3;0;0;3;10;0;0;0;1;3;6;1.0;0.0;0.0;1.0;3.3333333333333335;2.0
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;StarterCoin;contract;20;14;1;2;2;0;0;4;3;4;7;0;1;7;1;1.0;0.0;0.0;2.0;1.5;0.5
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;LimitedTransferToken;contract;38;15;19;3;3;0;0;7;5;2;2;1;0;0;3;1.0;0.0;0.0;2.3333333333333335;1.6666666666666667;1.0
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;StarterCoinCrowdsale;contract;210;139;34;8;16;6;3;17;80;1;1;0;3;22;27;2.0;0.75;0.375;2.125;10.0;3.375
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;3;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;6;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;BasicToken;contract;30;14;11;2;2;0;0;3;6;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;StandardToken;contract;78;37;30;5;6;1;1;11;20;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.0;2.0
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
c443dC891b7e4f37BB9c3DB2608DA74853d8D856_StarterCoinCrowdsale.sol;c4;SafeERC20;library;13;11;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
