SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;MintableTokenFundraiser;contract;24;13;11;2;2;0;0;5;2;2;3;2;1;0;3;1.0;0.0;0.0;2.5;1.0;1.5
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;StandardMintableToken;contract;8;8;0;0;0;0;0;0;0;3;3;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;ERC20Token;contract;12;9;1;5;5;0;0;10;0;0;0;4;0;1;0;1.0;0.0;0.0;2.0;0.0;0.0
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;IndividualCapsFundraiser;contract;69;43;12;6;7;1;1;7;29;2;3;1;0;3;5;1.1666666666666667;0.16666666666666666;0.16666666666666666;1.1666666666666667;4.833333333333333;0.8333333333333334
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;PresaleFundraiser;contract;81;48;21;5;7;2;2;6;41;3;4;1;0;5;6;1.4;0.4;0.4;1.2;8.2;1.2
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;StandardToken;contract;104;41;47;6;6;0;0;13;31;1;1;3;0;5;6;1.0;0.0;0.0;2.1666666666666665;5.166666666666667;1.0
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;SPACETokenSafe;contract;18;16;6;0;0;0;0;0;2;1;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;ForwardFundsFundraiser;contract;9;5;4;1;1;0;0;2;1;2;3;1;0;0;1;1.0;0.0;0.0;2.0;1.0;1.0
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;SPACETokenFundraiser;contract;75;46;19;3;5;1;1;2;15;4;9;0;2;1;7;1.6666666666666667;0.3333333333333333;0.3333333333333333;0.6666666666666666;5.0;2.3333333333333335
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;MintableToken;contract;59;25;25;2;2;0;0;2;20;2;2;2;0;2;2;1.0;0.0;0.0;1.0;10.0;1.0
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;AbstractFundraiser;contract;67;17;39;8;8;0;0;7;2;0;0;8;1;1;2;1.0;0.0;0.0;0.875;0.25;0.25
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;SafeMath;library;27;20;0;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;BasicFundraiser;contract;132;58;52;8;8;0;0;9;58;1;2;7;0;7;8;1.0;0.0;0.0;1.125;7.25;1.0
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;SPACEToken;contract;12;11;3;0;0;0;0;0;0;3;3;0;1;4;0;0.0;0.0;0.0;0.0;0.0;0.0
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;TieredFundraiser;contract;25;12;10;3;3;0;0;1;3;2;3;1;0;1;4;1.0;0.0;0.0;0.3333333333333333;1.0;1.3333333333333333
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;GasPriceLimitFundraiser;contract;30;15;9;3;3;0;0;2;10;2;3;1;0;1;1;1.0;0.0;0.0;0.6666666666666666;3.3333333333333335;0.3333333333333333
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;HasOwner;contract;56;20;28;2;2;0;0;1;18;0;0;8;0;2;0;1.0;0.0;0.0;0.5;9.0;0.0
c7536f330A104219cAeF4A7F01f1c62240889D82_SPACEToken.sol;c7;TokenSafe;contract;75;34;30;3;4;1;1;7;34;0;0;1;2;2;4;1.3333333333333333;0.3333333333333333;0.3333333333333333;2.3333333333333335;11.333333333333334;1.3333333333333333
