SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;FinalizeAgent;contract;17;7;6;3;3;0;0;0;1;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.3333333333333333;0.0
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;SafeMathLib;library;20;16;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;PricingStrategy;contract;37;14;19;4;4;0;0;7;3;0;0;0;0;0;0;1.0;0.0;0.0;1.75;0.75;0.0
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;1;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;PreICOProxyBuyer;contract;304;152;82;18;42;11;11;12;84;2;2;0;2;15;34;2.3333333333333335;0.6111111111111112;0.6111111111111112;0.6666666666666666;4.666666666666667;1.8888888888888888
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;2;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;Ownable;contract;32;14;11;2;2;0;0;1;5;0;0;4;0;1;1;1.0;0.0;0.0;0.5;2.5;0.5
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;FractionalERC20;contract;5;3;0;0;0;0;0;0;0;2;2;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;Haltable;contract;29;21;2;2;2;0;0;0;11;1;1;3;0;1;0;1.0;0.0;0.0;0.0;5.5;0.0
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;CrowdsaleBase;contract;412;167;162;20;48;18;11;21;96;2;2;1;3;20;31;2.4;0.9;0.55;1.05;4.8;1.55
c7a5b1ef756b92373d320d13f0f775849358c4ef_PreICOProxyBuyer.sol;c7;Crowdsale;contract;133;55;64;11;18;4;4;27;35;3;3;0;1;3;19;1.6363636363636365;0.36363636363636365;0.36363636363636365;2.4545454545454546;3.1818181818181817;1.7272727272727273
