SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;WhitelistedCrowdsale;contract;17;11;5;1;1;0;0;2;1;2;4;1;0;0;1;1.0;0.0;0.0;2.0;1.0;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;CappedCrowdsale;contract;38;20;13;2;2;0;0;2;5;1;1;1;0;1;2;1.0;0.0;0.0;1.0;2.5;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;Crowdsale;contract;184;88;72;9;9;0;0;12;22;0;0;6;1;4;13;1.0;0.0;0.0;1.3333333333333333;2.4444444444444446;1.4444444444444444
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;Whitelist;contract;79;42;30;5;7;2;2;5;9;1;2;2;0;2;5;1.4;0.4;0.4;1.0;1.8;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;StandardToken;contract;111;63;39;5;6;1;1;11;21;2;3;1;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;Roles;library;46;28;14;4;4;0;0;8;4;0;0;0;0;0;1;1.0;0.0;0.0;2.0;1.0;0.25
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;2;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;7;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;MintedCrowdsale;contract;17;10;6;1;1;0;0;2;1;1;1;1;0;0;1;1.0;0.0;0.0;2.0;1.0;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;SafeERC20;library;32;30;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;4;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;HbeCrowdsale;contract;375;195;145;22;31;8;5;26;109;3;11;0;1;21;44;1.4090909090909092;0.36363636363636365;0.22727272727272727;1.1818181818181819;4.954545454545454;2.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;CanReclaimToken;contract;13;7;4;1;1;0;0;1;2;1;1;1;1;0;2;1.0;0.0;0.0;1.0;2.0;2.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;0;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;FinalizableCrowdsale;contract;30;14;9;2;2;0;0;0;5;2;3;1;0;1;2;1.0;0.0;0.0;0.0;2.5;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;TimedCrowdsale;contract;54;27;20;2;2;0;0;2;8;1;1;2;0;2;1;1.0;0.0;0.0;1.0;4.0;0.5
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;1;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;RBAC;contract;92;36;46;4;4;0;0;8;8;0;0;3;1;1;4;1.0;0.0;0.0;2.0;2.0;1.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;TokenTimelock;contract;39;24;8;1;1;0;0;0;8;0;0;0;1;3;3;1.0;0.0;0.0;0.0;8.0;3.0
c99bd4519ed73de7e8465032782dca6924c2327d_HbeCrowdsale.sol;c9;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
