SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;StandardToken;contract;111;63;39;5;6;1;1;11;21;2;3;4;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;Roles;library;46;28;14;4;4;0;0;8;4;0;0;0;0;0;1;1.0;0.0;0.0;2.0;1.0;0.25
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;2;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;PausableToken;contract;58;53;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;SafeERC20;library;32;30;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;Superuser;contract;49;29;14;3;3;0;0;3;10;1;2;1;0;2;5;1.0;0.0;0.0;1.0;3.3333333333333335;1.6666666666666667
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;7;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;5;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;TokenTimelock;contract;39;24;8;1;1;0;0;0;8;0;0;0;1;3;3;1.0;0.0;0.0;0.0;8.0;3.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;SocialGoodToken;contract;86;45;36;5;5;0;0;7;19;5;11;0;1;11;10;1.0;0.0;0.0;1.4;3.8;2.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;CappedToken;contract;28;17;6;1;1;0;0;2;4;4;6;1;0;1;2;1.0;0.0;0.0;2.0;4.0;2.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;RBAC;contract;92;36;46;4;4;0;0;8;8;0;0;2;1;1;4;1.0;0.0;0.0;2.0;2.0;1.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;6;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
ca90f5ea4416e3d6662b359f856a1d96b1846ef1_SocialGoodToken.sol;ca;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;2;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
