SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;OwnerManager;contract;159;106;41;8;12;4;4;12;123;1;1;2;0;4;8;1.5;0.5;0.5;1.5;15.375;1.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;ISignatureValidator;contract;15;7;8;1;1;0;0;2;0;0;0;1;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;SignatureDecoder;contract;47;29;16;2;2;0;0;5;6;0;0;1;0;0;2;1.0;0.0;0.0;2.5;3.0;1.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;&quot;contract;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;Module;contract;18;13;2;1;1;0;0;0;13;2;2;0;1;1;2;1.0;0.0;0.0;0.0;13.0;2.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;Executor;contract;49;41;3;4;6;2;1;13;10;1;1;3;1;0;4;1.5;0.5;0.25;3.25;2.5;1.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;SecuredTokenTransfer;contract;27;21;5;1;1;0;0;3;10;0;0;1;0;0;1;1.0;0.0;0.0;3.0;10.0;1.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;MasterCopy;contract;16;10;5;1;1;0;0;1;8;1;1;2;0;1;1;1.0;0.0;0.0;1.0;8.0;1.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;SelfAuthorized;contract;3;3;0;0;0;0;0;0;7;0;0;6;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;GnosisSafe;contract;86;47;32;2;2;0;0;13;7;4;10;0;1;40;2;1.0;0.0;0.0;6.5;3.5;1.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;Enum;contract;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;BaseSafe;contract;15;8;6;1;1;0;0;4;2;3;5;1;0;0;2;1.0;0.0;0.0;4.0;2.0;2.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;CreateAndAddModules;contract;36;25;7;2;3;1;1;3;7;0;0;0;1;0;2;1.5;0.5;0.5;1.5;3.5;1.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;EtherPaymentFallback;contract;10;7;1;1;1;0;0;0;0;0;0;4;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
cbf223ccb3264e447167d4772c312df403ab87f0_CreateAndAddModules.sol;cb;ModuleManager;contract;93;62;22;5;8;2;2;9;59;2;3;2;2;2;7;1.6;0.4;0.4;1.8;11.8;1.4
