SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;Address;library;21;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;PredictionMarketSystem;contract;182;132;25;7;21;8;8;23;169;3;4;0;1;2;24;3.0;1.1428571428571428;1.1428571428571428;3.2857142857142856;24.142857142857142;3.4285714285714284
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;OracleConsumer;interface;3;3;0;1;1;0;0;2;0;0;0;1;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;Fixed192x64Math;library;269;188;65;8;28;12;12;10;115;0;0;0;0;3;18;3.5;1.5;1.5;1.25;14.375;2.25
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;IERC1155TokenReceiver;interface;33;28;4;2;2;0;0;10;0;0;0;2;0;0;0;1.0;0.0;0.0;5.0;0.0;0.0
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;MarketMaker;contract;309;222;51;15;33;11;11;24;123;1;2;1;2;8;31;2.2;0.7333333333333333;0.7333333333333333;1.6;8.2;2.066666666666667
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;LMSRMarketMaker;contract;112;63;35;3;8;4;4;6;32;2;3;0;3;2;21;2.6666666666666665;1.3333333333333333;1.3333333333333333;2.0;10.666666666666666;7.0
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;IERC165;interface;9;3;6;1;1;0;0;1;0;0;0;3;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;IERC1155;contract;91;61;21;6;6;0;0;18;0;1;1;2;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;ERC1155;contract;171;111;31;7;14;4;4;19;59;2;2;1;0;6;12;2.0;0.5714285714285714;0.5714285714285714;2.7142857142857144;8.428571428571429;1.7142857142857142
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;2;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;SignedSafeMath;library;43;22;17;4;5;1;1;8;10;0;0;0;0;1;4;1.25;0.25;0.25;2.0;2.5;1.0
cd42e8850783e3eb1456c88dfccb5aadeed41e48_LMSRMarketMakerFactory.sol;cd;LMSRMarketMakerFactory;contract;12;11;0;1;1;0;0;5;3;0;0;0;3;0;2;1.0;0.0;0.0;5.0;3.0;2.0
