SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;HasOwners;contract;42;33;9;4;8;4;4;3;30;1;1;1;0;2;2;2.0;1.0;1.0;0.75;7.5;0.5
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;Custodian;contract;317;186;6;31;33;1;1;79;224;2;8;0;0;17;50;1.064516129032258;0.03225806451612903;0.03225806451612903;2.5483870967741935;7.225806451612903;1.6129032258064515
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;Depositing;interface;15;13;2;3;3;0;0;8;0;0;0;1;0;0;0;1.0;0.0;0.0;2.6666666666666665;0.0;0.0
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;Stoppable;contract;19;18;1;1;2;1;1;0;14;0;0;1;0;1;0;2.0;1.0;1.0;0.0;14.0;0.0
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;MerkleProof;contract;67;53;15;4;10;3;3;14;27;0;0;1;0;0;5;2.5;0.75;0.75;3.5;6.75;1.25
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;Versioned;contract;8;8;0;0;0;0;0;0;1;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;Withdrawing;interface;10;10;0;4;4;0;0;18;0;0;0;1;0;0;0;1.0;0.0;0.0;4.5;0.0;0.0
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;Token;contract;44;17;27;5;5;0;0;10;0;0;0;0;0;1;0;1.0;0.0;0.0;2.0;0.0;0.0
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;Ledger;contract;226;207;24;10;13;1;1;23;38;0;0;1;0;1;17;1.3;0.1;0.1;2.3;3.8;1.7
CE00901a0638d758D6f89d59dFa32120D2259B0C_Custodian.sol;ce;Validating;contract;7;7;1;0;0;0;0;0;18;0;0;2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
