SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;PausableToken;contract;10;8;0;2;2;0;0;5;2;3;6;1;0;0;2;1.0;0.0;0.0;2.5;1.0;1.0
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;StandardToken;contract;51;18;23;3;4;1;1;7;10;2;3;3;0;1;5;1.3333333333333333;0.3333333333333333;0.3333333333333333;2.3333333333333335;3.3333333333333335;1.6666666666666667
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;Pausable;contract;41;23;12;2;2;0;0;0;12;1;1;2;0;1;2;1.0;0.0;0.0;0.0;6.0;1.0
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;FCCToken;contract;8;6;0;0;0;0;0;0;0;4;8;0;1;5;0;0.0;0.0;0.0;0.0;0.0;0.0
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;SafeMath;library;47;37;2;9;10;1;1;17;16;0;0;0;0;0;3;1.1111111111111112;0.1111111111111111;0.1111111111111111;1.8888888888888888;1.7777777777777777;0.3333333333333333
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;2;4;1.0;0.0;0.0;1.0;5.0;2.0
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;6;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;BasicToken;contract;36;18;13;2;2;0;0;3;7;1;1;4;0;1;3;1.0;0.0;0.0;1.5;3.5;1.5
cff1d192f2d225e4c7190d9d7beef93672f3cacc_FCCToken.sol;cf;Ownable;contract;35;17;11;2;3;1;1;1;6;0;0;4;0;1;1;1.5;0.5;0.5;0.5;3.0;0.5
