SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;UpgradeAgent;contract;12;7;1;2;2;0;0;2;1;0;0;0;0;1;0;1.0;0.0;0.0;1.0;0.5;0.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;StandardTokenExt;contract;7;5;1;1;1;0;0;0;1;3;6;7;0;0;0;1.0;0.0;0.0;0.0;1.0;0.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;BurnableCrowdsaleToken;contract;7;5;0;1;1;0;0;5;0;6;12;1;0;0;0;1.0;0.0;0.0;5.0;0.0;0.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;Recoverable;contract;19;10;6;3;3;0;0;2;2;1;1;8;1;0;2;1.0;0.0;0.0;0.6666666666666666;0.6666666666666666;0.6666666666666666
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;MintableToken;contract;48;26;13;2;2;0;0;4;11;4;7;3;0;2;4;1.0;0.0;0.0;2.0;5.5;2.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;11;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;SafeMath;library;41;23;14;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;Ownable;contract;34;16;11;2;2;0;0;1;6;0;0;9;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;SafeMathLib;library;20;16;0;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;AMLToken;contract;22;13;4;2;3;1;1;6;7;7;13;0;0;0;6;1.5;0.5;0.5;3.0;3.5;3.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;ReleasableToken;contract;80;40;25;5;5;0;0;8;15;4;7;3;0;3;2;1.0;0.0;0.0;1.6;3.0;0.4
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;StandardToken;contract;87;36;42;5;6;1;1;11;21;2;3;8;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;CrowdsaleToken;contract;85;36;33;4;7;2;2;7;18;5;10;2;0;3;4;1.75;0.5;0.5;1.75;4.5;1.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;9;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;UpgradeableToken;contract;119;49;47;6;19;6;4;4;38;4;7;3;1;3;14;3.1666666666666665;1.0;0.6666666666666666;0.6666666666666666;6.333333333333333;2.3333333333333335
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;BasicToken;contract;40;19;14;3;3;0;0;3;8;1;1;9;0;2;4;1.0;0.0;0.0;1.0;2.6666666666666665;1.3333333333333333
d28D7f90c0fcACA43011A812cAD626787b9467DA_AMLToken.sol;d2;BurnableToken;contract;24;11;9;1;1;0;0;1;5;4;7;2;0;1;4;1.0;0.0;0.0;1.0;5.0;4.0
