SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;BBT;contract;181;121;42;9;11;1;1;13;54;4;10;0;1;13;15;1.2222222222222223;0.1111111111111111;0.1111111111111111;1.4444444444444444;6.0;1.6666666666666667
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;StandardToken;contract;111;63;39;5;6;1;1;11;21;2;3;3;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;5;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;ArrayUtils;library;24;19;1;1;4;2;2;2;10;0;0;0;0;0;1;4.0;2.0;2.0;2.0;10.0;1.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;7;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;1;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;4;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;SnapshotToken;contract;58;45;1;6;9;3;3;9;21;3;4;1;0;3;10;1.5;0.5;0.5;1.5;3.5;1.6666666666666667
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;Math;library;6;5;1;1;1;0;0;2;1;0;0;0;0;0;0;1.0;0.0;0.0;2.0;1.0;0.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;Whitelist;contract;132;88;30;8;13;5;5;6;37;1;1;1;0;2;8;1.625;0.625;0.625;0.75;4.625;1.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;2;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;PausableToken;contract;58;53;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
d311ac05ede4e4955ebb08116300ee2834d03362_BBT.sol;d3;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
