SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;Ownable;contract;39;25;7;3;3;0;0;3;10;0;0;1;0;1;2;1.0;0.0;0.0;1.0;3.3333333333333335;0.6666666666666666
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;solcChecker;contract;3;2;1;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;CBOR;library;68;57;0;9;15;6;2;16;26;0;0;0;1;7;12;1.6666666666666667;0.6666666666666666;0.2222222222222222;1.7777777777777777;2.888888888888889;1.3333333333333333
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;OraclizeI;contract;16;14;0;11;11;0;0;28;0;0;0;0;0;1;0;1.0;0.0;0.0;2.5454545454545454;0.0;0.0
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;usingOraclize;contract;1062;934;61;94;173;49;45;244;655;0;0;1;3;19;203;1.8404255319148937;0.5212765957446809;0.4787234042553192;2.595744680851064;6.968085106382978;2.1595744680851063
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;OraclizeAddrResolverI;contract;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;ReentrancyGuard;contract;26;12;10;0;0;0;0;0;5;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;Crowdsale;contract;472;272;105;41;59;11;11;26;147;1;3;0;1;33;44;1.4390243902439024;0.2682926829268293;0.2682926829268293;0.6341463414634146;3.5853658536585367;1.0731707317073171
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;SafeERC20;library;30;21;3;5;5;0;0;16;8;0;0;0;1;0;9;1.0;0.0;0.0;3.2;1.6;1.8
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;Buffer;library;115;85;41;6;12;5;5;13;32;0;0;0;0;0;5;2.0;0.8333333333333334;0.8333333333333334;2.1666666666666665;5.333333333333333;0.8333333333333334
d583e61764b2303f2764d638259e5447890206a8_Crowdsale.sol;d5;IERC20;interface;13;13;0;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
