SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;3;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;Whitelisted;contract;66;51;11;10;12;2;2;11;20;1;1;1;0;3;4;1.2;0.2;0.2;1.1;2.0;0.4
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;ReentrancyGuard;contract;24;12;10;0;0;0;0;0;5;0;0;5;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;MocoCrowdsale;contract;69;48;6;0;0;0;0;0;0;3;7;0;2;24;0;0.0;0.0;0.0;0.0;0.0;0.0
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;Crowdsale;contract;45;16;22;0;0;0;0;0;0;1;1;4;1;14;0;0.0;0.0;0.0;0.0;0.0;0.0
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;Math;library;25;11;12;3;3;0;0;6;3;0;0;0;0;0;0;1.0;0.0;0.0;2.0;1.0;0.0
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;SafeERC20;library;29;21;3;5;5;0;0;16;8;0;0;0;1;0;9;1.0;0.0;0.0;3.2;1.6;1.8
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;PostDeliveryCrowdsale;contract;34;17;12;3;3;0;0;4;7;3;3;0;0;1;3;1.0;0.0;0.0;1.3333333333333333;2.3333333333333335;1.0
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;TimedCrowdsale;contract;72;32;30;6;6;0;0;3;11;2;2;2;0;2;1;1.0;0.0;0.0;0.5;1.8333333333333333;0.16666666666666666
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;AllowanceCrowdsale;contract;39;18;16;3;3;0;0;2;5;2;2;1;1;1;3;1.0;0.0;0.0;0.6666666666666666;1.6666666666666667;1.0
d701F9FCd6d9990ef826640C6C069c705C217557_MocoCrowdsale.sol;d7;Referral;contract;59;56;0;10;12;2;2;12;24;1;1;1;0;5;8;1.2;0.2;0.2;1.2;2.4;0.8
