SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;usingOraclize;contract;978;863;49;91;162;46;42;235;578;0;0;1;3;19;189;1.7802197802197801;0.5054945054945055;0.46153846153846156;2.5824175824175826;6.351648351648351;2.076923076923077
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;1;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;CBOR;library;68;57;0;9;15;6;2;16;26;0;0;0;1;7;12;1.6666666666666667;0.6666666666666666;0.2222222222222222;1.7777777777777777;2.888888888888889;1.3333333333333333
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;OraclizeI;contract;16;14;0;11;11;0;0;28;0;0;0;0;0;1;0;1.0;0.0;0.0;2.5454545454545454;0.0;0.0
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;ERC20;contract;173;64;89;13;13;0;0;26;32;1;1;1;0;3;18;1.0;0.0;0.0;2.0;2.4615384615384617;1.3846153846153846
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;Buffer;library;115;85;41;6;12;5;5;13;32;0;0;0;0;0;5;2.0;0.8333333333333334;0.8333333333333334;2.1666666666666665;5.333333333333333;0.8333333333333334
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;EasyToken;contract;218;148;56;8;17;6;6;9;82;2;4;0;0;18;17;2.125;0.75;0.75;1.125;10.25;2.125
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;solcChecker;contract;3;2;1;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;2;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
d7ce0742fd67a171d1dff89cf89760465c1c9a15_EasyToken.sol;d7;OraclizeAddrResolverI;contract;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
