SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;Migrations;contract;21;17;0;2;2;0;0;2;6;0;0;0;1;2;2;1.0;0.0;0.0;1.0;3.0;1.0
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;Freezable;contract;31;26;0;2;2;0;0;3;12;3;3;1;0;2;2;1.0;0.0;0.0;1.5;6.0;1.0
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;TimeLockable;contract;22;18;0;1;1;0;0;2;8;3;3;1;0;1;1;1.0;0.0;0.0;2.0;8.0;1.0
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;BLUCON;contract;39;32;0;5;5;0;0;11;7;4;8;0;1;5;5;1.0;0.0;0.0;2.2;1.4;1.0
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;Ownable;contract;70;33;27;5;5;0;0;2;11;0;0;5;0;1;3;1.0;0.0;0.0;0.4;2.2;0.6
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;Administratable;contract;30;25;0;2;2;0;0;2;11;1;1;4;0;1;2;1.0;0.0;0.0;1.0;5.5;1.0
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;IERC20;interface;28;21;0;6;6;0;0;10;0;0;0;3;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;ERC20Burnable;contract;27;11;13;3;3;0;0;5;3;2;2;1;0;0;3;1.0;0.0;0.0;1.6666666666666667;1.0;1.0
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;Whitelistable;contract;11;10;0;1;1;0;0;2;4;2;2;3;0;1;1;1.0;0.0;0.0;2.0;4.0;1.0
d8ef149b4e1e8f050d52925f9c68d3a296e77227_BLUCON.sol;d8;ERC20;contract;193;98;74;11;11;0;0;20;41;1;1;2;0;3;21;1.0;0.0;0.0;1.8181818181818181;3.727272727272727;1.9090909090909092
