SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;4;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;PausableToken;contract;22;17;0;5;5;0;0;11;5;3;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;IDCToken;contract;171;85;54;8;8;0;0;12;40;4;9;0;0;13;15;1.0;0.0;0.0;1.5;5.0;1.875
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;StandardToken;contract;87;36;42;5;6;1;1;11;21;2;3;3;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;BurnableToken;contract;19;10;6;1;1;0;0;1;5;2;2;1;0;0;4;1.0;0.0;0.0;1.0;5.0;4.0
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;5;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
dbe16aa3c77ff1bc391f2b311152b86610de1494_IDCToken.sol;db;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;2;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
