SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;SexCoin;contract;7;5;0;0;0;0;0;0;0;4;6;0;1;5;0;0.0;0.0;0.0;0.0;0.0;0.0
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;SexCoinCrowdsale;contract;14;10;0;2;2;0;0;5;1;2;2;0;2;0;1;1.0;0.0;0.0;2.5;0.5;0.5
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;Crowdsale;contract;93;48;22;7;7;0;0;5;24;0;0;2;1;6;11;1.0;0.0;0.0;0.7142857142857143;3.4285714285714284;1.5714285714285714
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;CappedCrowdsale;contract;25;16;4;3;3;0;0;1;6;1;1;1;0;1;4;1.0;0.0;0.0;0.3333333333333333;2.0;1.3333333333333333
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
e3a024cbe6af5ba6b8f765aba543a32ad764bfa3_SexCoinCrowdsale.sol;e3;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;2;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
