SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;2;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;MartinLarbaoui2;contract;105;65;23;4;6;1;1;2;29;1;1;0;1;10;11;1.5;0.25;0.25;0.5;7.25;2.75
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;StandardToken;contract;76;35;30;5;6;1;1;11;20;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.0;2.0
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;BurnableToken;contract;20;11;6;1;1;0;0;1;6;3;4;1;0;0;4;1.0;0.0;0.0;1.0;6.0;4.0
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;SafeERC20;library;13;11;0;3;3;0;0;10;3;0;0;0;2;0;3;1.0;0.0;0.0;3.3333333333333335;1.0;1.0
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;BasicToken;contract;29;14;11;2;2;0;0;3;6;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
e4200db994b4a672d1ea323ce39825ea751cfe57_MartinLarbaoui2.sol;e4;Peculium;contract;100;56;24;8;8;0;0;10;47;4;6;0;2;9;10;1.0;0.0;0.0;1.25;5.875;1.25
