SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;Address;library;23;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;Pausable;contract;49;27;15;3;3;0;0;0;10;1;1;1;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;ERC721BidStorage;contract;73;50;14;0;0;0;0;0;0;0;0;1;1;12;0;0.0;0.0;0.0;0.0;0.0;0.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;Ownable;contract;68;33;27;5;5;0;0;2;12;0;0;1;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;ERC721Interface;contract;5;5;0;3;3;0;0;5;0;0;0;1;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;&quot;contract;47;31;13;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;PauserRole;contract;39;30;0;5;5;0;0;4;10;0;0;2;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;ERC20Interface;contract;5;5;0;3;3;0;0;6;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;Roles;library;38;23;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;ERC721Verifiable;contract;3;3;0;1;1;0;0;2;0;1;1;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;isnot;contract;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
e479dfd9664c693b2e2992300930b00bfde08233_ERC721Bid.sol;e4;ERC721Bid;contract;236;145;64;4;6;2;2;18;79;2;4;0;1;2;21;1.5;0.5;0.5;4.5;19.75;5.25
