SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;ITokenHolder;contract;3;3;0;1;1;0;0;3;0;1;1;5;1;0;0;1.0;0.0;0.0;3.0;0.0;0.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;IERC20Token;contract;13;11;1;9;9;0;0;10;9;0;0;2;0;0;0;1.0;0.0;0.0;1.1111111111111112;1.0;0.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;Utils;contract;68;43;12;4;4;0;0;6;14;0;0;3;0;0;3;1.0;0.0;0.0;1.5;3.5;0.75
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;Owned;contract;41;28;7;3;3;0;0;1;9;1;1;3;0;2;3;1.0;0.0;0.0;0.3333333333333333;3.0;1.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;BancorLender;contract;104;78;20;5;8;2;2;9;35;0;0;0;3;4;15;1.6;0.4;0.4;1.8;7.0;3.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;IBancorFormula;contract;4;4;0;2;2;0;0;8;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;IOwned;contract;7;5;1;3;3;0;0;1;1;0;0;7;0;0;0;1.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;ISmartToken;contract;5;5;0;3;3;0;0;5;0;2;3;0;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;Managed;contract;41;28;7;3;3;0;0;1;9;0;0;1;0;2;3;1.0;0.0;0.0;0.3333333333333333;3.0;1.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;SmartTokenController;contract;65;43;13;5;5;0;0;6;9;3;5;1;2;1;4;1.0;0.0;0.0;1.2;1.8;0.8
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;ITokenChanger;contract;6;6;0;4;4;0;0;8;0;0;0;1;1;0;0;1.0;0.0;0.0;2.0;0.0;0.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;IEtherToken;contract;5;5;0;3;3;0;0;3;0;2;3;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;BancorChanger;contract;622;416;129;29;43;12;10;51;142;4;8;0;5;13;67;1.4827586206896552;0.41379310344827586;0.3448275862068966;1.7586206896551724;4.896551724137931;2.310344827586207
e4e821c1aef1d3305ade82835853d87d2705a992_BancorLender.sol;e4;TokenHolder;contract;25;19;4;2;2;0;0;3;1;2;4;2;1;0;1;1.0;0.0;0.0;1.5;0.5;0.5
