SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;MintableToken;contract;28;21;0;2;2;0;0;2;10;3;5;1;0;2;4;1.0;0.0;0.0;1.0;5.0;2.0
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;Authorizable;contract;36;24;0;4;4;0;0;3;10;0;0;1;0;2;1;1.0;0.0;0.0;0.75;2.5;0.25
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;SafeMath;library;47;37;2;9;10;1;1;17;16;0;0;0;0;0;3;1.1111111111111112;0.1111111111111111;0.1111111111111111;1.8888888888888888;1.7777777777777777;0.3333333333333333
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;token;interface;3;3;0;1;1;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;MainSale;contract;90;63;1;10;11;1;1;9;30;1;2;0;3;6;19;1.1;0.1;0.1;0.9;3.0;1.9
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;PrompToken;contract;30;19;0;3;3;0;0;5;5;4;6;0;1;6;2;1.0;0.0;0.0;1.6666666666666667;1.6666666666666667;0.6666666666666666
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;Ownable;contract;27;17;0;2;3;1;1;1;6;0;0;4;0;1;1;1.5;0.5;0.5;0.5;3.0;0.5
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;BasicToken;contract;26;18;0;2;2;0;0;3;7;1;1;3;0;1;3;1.0;0.0;0.0;1.5;3.5;1.5
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;ExchangeRate;contract;32;23;0;3;5;1;1;4;12;1;1;0;0;1;5;1.6666666666666667;0.3333333333333333;0.3333333333333333;1.3333333333333333;4.0;1.6666666666666667
e58f0c23d0415c1d24b730b88413486ee3716459_PrompToken.sol;e5;StandardToken;contract;36;18;6;3;4;1;1;7;10;2;3;2;0;1;5;1.3333333333333333;0.3333333333333333;0.3333333333333333;2.3333333333333335;3.3333333333333335;1.6666666666666667
