SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;ERC721Metadata;contract;5;5;0;3;3;0;0;1;0;2;2;2;0;0;0;1.0;0.0;0.0;0.3333333333333333;0.0;0.0
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;ERC165;interface;13;6;6;1;1;0;0;1;0;0;0;7;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;AddressUtils;library;23;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;ERC721Receiver;contract;30;11;18;1;1;0;0;4;0;0;0;0;0;1;0;1.0;0.0;0.0;4.0;0.0;0.0
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;Fallback;contract;6;5;0;1;1;0;0;0;1;1;1;1;0;0;1;1.0;0.0;0.0;0.0;1.0;1.0
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;ERC721BasicToken;contract;328;152;146;16;18;2;2;34;52;2;3;1;0;7;27;1.125;0.125;0.125;2.125;3.25;1.6875
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;ERC721Enumerable;contract;12;11;0;3;3;0;0;3;0;2;2;2;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;ERC721;contract;2;2;0;0;0;0;0;0;0;3;4;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;ReentrancyGuard;contract;20;9;9;0;0;0;0;0;4;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;VoV;contract;264;127;94;15;15;0;0;16;62;4;9;0;0;20;12;1.0;0.0;0.0;1.0666666666666667;4.133333333333334;0.8
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;SupportsInterfaceWithLookup;contract;43;22;17;2;2;0;0;2;4;1;1;2;0;2;1;1.0;0.0;0.0;1.0;2.0;0.5
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;2;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
e669da6af697b31bac327d1124f854771c660061_VoV.sol;e6;ERC721Basic;contract;41;36;0;10;10;0;0;20;0;1;1;5;0;0;0;1.0;0.0;0.0;2.0;0.0;0.0
