SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;Token;contract;4;3;0;0;0;0;0;0;0;4;7;0;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;CappedToken;contract;14;11;0;1;1;0;0;2;4;3;4;1;0;1;2;1.0;0.0;0.0;2.0;4.0;2.0
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;ERC20;contract;11;10;0;6;6;0;0;10;0;0;0;5;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;StandardToken;contract;92;69;0;9;11;2;2;16;36;1;1;4;0;6;11;1.2222222222222223;0.2222222222222222;0.2222222222222222;1.7777777777777777;4.0;1.2222222222222223
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;BurnableToken;contract;24;18;0;3;3;0;0;5;9;2;2;1;0;0;7;1.0;0.0;0.0;1.6666666666666667;3.0;2.3333333333333335
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;Pausable;contract;19;15;0;2;2;0;0;0;8;1;1;1;0;1;0;1.0;0.0;0.0;0.0;4.0;0.0
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;Crowdsale;contract;28;21;0;2;2;0;0;7;8;2;4;0;1;2;4;1.0;0.0;0.0;3.5;4.0;2.0
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;Manageable;contract;52;40;0;5;10;4;4;3;21;1;1;1;0;1;3;2.0;0.8;0.8;0.6;4.2;0.6
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;Withdrawable;contract;20;16;0;4;4;0;0;12;6;1;1;2;1;0;5;1.0;0.0;0.0;3.0;1.5;1.25
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;Ownable;contract;27;21;0;3;3;0;0;2;9;0;0;7;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;MintableToken;contract;25;19;0;2;2;0;0;2;12;2;3;2;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
e683873fd70830f007010118105cc149911fde57_Token.sol;e6;SafeMath;library;25;22;0;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
