SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;ExtendedAdvertisement;contract;86;72;2;2;3;1;1;13;15;3;6;0;1;11;5;1.5;0.5;0.5;6.5;7.5;2.5
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;SingleAllowance;contract;17;13;0;1;1;0;0;1;4;2;2;2;0;3;0;1.0;0.0;0.0;1.0;4.0;0.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;ExtendedAdvertisementStorage;contract;96;80;4;2;2;0;0;10;2;4;5;0;2;16;8;1.0;0.0;0.0;5.0;1.0;4.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;BaseAdvertisementStorage;contract;107;84;4;2;2;0;0;8;8;3;4;1;1;16;0;1.0;0.0;0.0;4.0;4.0;0.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;Roles;library;33;28;0;4;4;0;0;8;4;0;0;0;0;0;1;1.0;0.0;0.0;2.0;1.0;0.25
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;SafeMath;library;34;22;6;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;CampaignLibrary;library;158;108;30;15;18;3;2;22;25;0;0;0;0;0;1;1.2;0.2;0.13333333333333333;1.4666666666666666;1.6666666666666667;0.06666666666666667
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;BaseFinance;contract;58;40;7;2;2;0;0;2;4;3;3;1;2;11;1;1.0;0.0;0.0;1.0;2.0;0.5
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;ErrorThrower;interface;3;3;0;0;0;0;0;0;0;0;0;9;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;ExtendedFinance;contract;53;32;4;4;4;0;0;8;10;4;4;0;0;1;5;1.0;0.0;0.0;2.0;2.5;1.25
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;Signature;contract;60;44;7;2;2;0;0;3;11;0;0;0;0;0;3;1.0;0.0;0.0;1.5;5.5;1.5
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;ExtendedCampaignLibrary;library;55;37;12;6;6;0;0;9;6;0;0;0;0;0;0;1.0;0.0;0.0;1.5;1.0;0.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;RBAC;contract;46;36;0;4;4;0;0;8;8;0;0;4;1;1;4;1.0;0.0;0.0;2.0;2.0;1.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;BaseAdvertisement;contract;45;29;4;1;1;0;0;1;4;2;3;1;3;14;0;1.0;0.0;0.0;1.0;4.0;0.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;ERC20Interface;contract;8;8;0;5;5;0;0;6;0;0;0;1;0;0;0;1.0;0.0;0.0;1.2;0.0;0.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;StorageUser;interface;3;3;0;1;1;0;0;0;0;0;0;2;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;AppCoins;contract;152;75;74;10;11;1;1;14;43;1;1;0;0;7;7;1.1;0.1;0.1;1.4;4.3;0.7
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;Ownable;contract;23;15;4;0;0;0;0;0;6;1;1;8;0;2;0;0.0;0.0;0.0;0.0;0.0;0.0
e7d2b29e5e3b89cb2340b027d23c4e5c4a7686d0_ExtendedAdvertisement.sol;e7;Whitelist;contract;26;15;9;1;1;0;0;1;9;2;3;3;0;5;0;1.0;0.0;0.0;1.0;9.0;0.0
