SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;8;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;RBACMintableToken;contract;30;13;14;2;2;0;0;2;4;4;7;2;0;2;2;1.0;0.0;0.0;1.0;2.0;1.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;2;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;ERC1363Spender;contract;21;3;18;1;1;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;RBAC;contract;92;36;46;4;4;0;0;8;8;0;0;3;1;1;4;1.0;0.0;0.0;2.0;2.0;1.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;ERC1363BasicToken;contract;179;129;38;8;10;2;2;24;28;3;7;2;0;4;10;1.25;0.25;0.25;3.0;3.5;1.25
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;9;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;Roles;library;46;28;14;4;4;0;0;8;4;0;0;0;0;0;1;1.0;0.0;0.0;2.0;1.0;0.25
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;12;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;ERC1363;contract;83;8;72;6;6;0;0;17;0;2;3;3;0;0;0;1.0;0.0;0.0;2.8333333333333335;0.0;0.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;BaseToken;contract;13;12;1;0;0;0;0;0;0;5;16;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;7;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;4;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;TokenRecover;contract;19;12;6;1;1;0;0;2;1;1;1;3;0;0;2;1.0;0.0;0.0;2.0;1.0;2.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;CappedToken;contract;28;17;6;1;1;0;0;2;4;4;6;2;0;1;2;1.0;0.0;0.0;2.0;4.0;2.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;ERC165;interface;13;6;6;1;1;0;0;1;0;0;0;5;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;ERC1363Receiver;contract;22;3;19;1;1;0;0;4;0;0;0;0;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;StandardToken;contract;111;63;39;5;6;1;1;11;21;2;3;6;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;GastroAdvisorToken;contract;123;80;32;8;10;2;2;12;21;6;17;0;0;4;11;1.25;0.25;0.25;1.5;2.625;1.375
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;CappedDelivery;contract;111;51;40;8;10;2;2;5;23;2;2;0;1;5;6;1.25;0.25;0.25;0.625;2.875;0.75
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;AddressUtils;library;23;7;14;1;1;0;0;1;3;0;0;0;0;0;0;1.0;0.0;0.0;1.0;3.0;0.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;DetailedERC20;contract;11;10;0;0;0;0;0;0;3;2;2;2;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
ec3610a7b419beabab673e2b3331f4518e68804d_CappedDelivery.sol;ec;SupportsInterfaceWithLookup;contract;44;22;17;2;2;0;0;2;4;1;1;3;0;2;1;1.0;0.0;0.0;1.0;2.0;0.5
