SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;SafeMath;library;25;20;2;4;4;0;0;8;10;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.5;0.75
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;4;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;2;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;StandardToken;contract;78;37;30;5;6;1;1;11;20;2;3;1;0;1;10;1.2;0.2;0.2;2.2;4.0;2.0
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;0;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;CappedCrowdsale;contract;25;16;4;3;3;0;0;1;6;1;1;1;0;1;4;1.0;0.0;0.0;0.3333333333333333;2.0;1.3333333333333333
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;FinalizableCrowdsale;contract;29;14;9;2;2;0;0;0;5;1;2;1;0;1;3;1.0;0.0;0.0;0.0;2.5;1.5
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;BasicToken;contract;30;14;11;2;2;0;0;3;6;1;1;2;0;1;4;1.0;0.0;0.0;1.5;3.0;2.0
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;QiibeeTokenInterface;contract;16;16;0;6;6;0;0;11;0;0;0;0;0;0;0;1.0;0.0;0.0;1.8333333333333333;0.0;0.0
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;Crowdsale;contract;93;48;22;7;7;0;0;5;24;0;0;3;1;6;11;1.0;0.0;0.0;0.7142857142857143;3.4285714285714284;1.5714285714285714
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;4;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;QiibeePresale;contract;216;126;64;9;11;2;2;26;67;2;5;0;1;11;27;1.2222222222222223;0.2222222222222222;0.2222222222222222;2.888888888888889;7.444444444444445;3.0
EE97c0e0bCb326065432db2c2230Fab369A0A1B0_QiibeePresale.sol;ee;Pausable;contract;39;21;12;2;2;0;0;0;8;1;1;1;0;1;2;1.0;0.0;0.0;0.0;4.0;1.0
