SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;StandardToken;contract;43;36;8;5;6;0;0;10;30;1;1;1;0;2;0;1.2;0.0;0.0;2.0;6.0;0.0
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;Registry;interface;9;9;0;4;4;0;0;5;0;0;0;0;0;0;0;1.0;0.0;0.0;1.25;0.0;0.0
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;Token;contract;44;21;23;5;5;0;0;10;0;0;0;2;0;1;0;1.0;0.0;0.0;2.0;0.0;0.0
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;Fee;contract;46;43;3;3;3;0;0;4;21;2;5;0;0;4;2;1.0;0.0;0.0;1.3333333333333333;7.0;0.6666666666666666
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;Stake;contract;59;59;0;0;0;0;0;0;0;2;3;0;5;40;0;0.0;0.0;0.0;0.0;0.0;0.0
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;Versioned;contract;8;6;2;0;0;0;0;0;1;0;0;2;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;HasOwners;contract;42;34;9;4;8;4;4;3;30;1;1;2;0;2;2;2.0;1.0;1.0;0.75;7.5;0.5
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;Validating;contract;7;7;0;0;0;0;0;0;18;0;0;3;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;Withdrawing;interface;10;7;3;4;4;0;0;18;0;0;0;0;0;0;0;1.0;0.0;0.0;4.5;0.0;0.0
eF4224FBE45b60F661aFBb6C7eb072EAFc6D5621_Stake.sol;ef;Math;library;21;15;6;6;6;0;0;12;17;0;0;0;0;3;0;1.0;0.0;0.0;2.0;2.8333333333333335;0.0
